"","Subcellular.location..CC.","Intramembrane","Topological.domain","Transmembrane"
"Q92731","SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00407, ECO:0000269|PubMed:19126643, ECO:0000269|PubMed:20074560}.",NA,NA,NA
"P41162","SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00237}.",NA,NA,NA
"Q9H8M9","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:17492404}; Single-pass membrane protein {ECO:0000269|PubMed:17492404}. Lysosome membrane {ECO:0000269|PubMed:17492404}; Single-pass membrane protein {ECO:0000269|PubMed:17492404}.",NA,NA,"TRANSMEM 35..55; /note=Helical; /evidence=ECO:0000255"
"O60447","SUBCELLULAR LOCATION: Nucleus. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome. Cytoplasm, cytoskeleton, spindle. Note=Associates with the mitotic spindle through anaphase and remains within the midzone and midbody until completion of cytokinesis.",NA,NA,NA
"Q9UI08","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:P70429}. Cytoplasm, cytoskeleton, stress fiber {ECO:0000250|UniProtKB:P70429}. Cell projection, lamellipodium {ECO:0000250|UniProtKB:P70429}. Note=Targeted to the leading edge of lamellipodia and the distal tip of stress fibers through interaction with a number of proteins. In activated T-cells, localizes to the F-actin collar and the distal tip of microspikes. {ECO:0000250|UniProtKB:P70429}.",NA,NA,NA
"Q96KP1","SUBCELLULAR LOCATION: Midbody, Midbody ring {ECO:0000269|PubMed:16213214, ECO:0000269|PubMed:18756269}. Note=Recruitment to the midbody does not require RALA, nor RALB (PubMed:18756269). Colocalizes with CNTRL/centriolin at the midbody ring (PubMed:16213214). {ECO:0000269|PubMed:16213214, ECO:0000269|PubMed:18756269}.",NA,NA,NA
"Q86VI1","SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle {ECO:0000250}. Note=Colocalizes with insulin granules. {ECO:0000250}.",NA,NA,NA
"Q8TAG9","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:O54923}. Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:O54923}. Cell projection, growth cone {ECO:0000250|UniProtKB:O54923}. Midbody, Midbody ring {ECO:0000269|PubMed:16213214}. Note=Perinuclear in undifferentiated cells. Redistributes to growing neurites and growth cones during neuronal differentiation. Colocalizes with CNTRL/centriolin at the midbody ring (PubMed:16213214). {ECO:0000250|UniProtKB:O54923, ECO:0000269|PubMed:16213214}.",NA,NA,NA
"Q9UPT5","SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:O35250}. Cell membrane {ECO:0000250|UniProtKB:O35250}; Peripheral membrane protein {ECO:0000305}. Midbody, Midbody ring {ECO:0000269|PubMed:16213214}. Note=Translocates, as a preformed complex with EXOC3/SEC6 and EXOC4/SEC8, to the plasma membrane in response to insulin through the activation of ARHQ (By similarity). Colocalizes with CNTRL/centriolin at the midbody ring (PubMed:16213214). {ECO:0000250|UniProtKB:O35250, ECO:0000269|PubMed:16213214}.",NA,NA,NA
"Q9NPD3","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17545563}. Nucleus, nucleolus {ECO:0000269|PubMed:17545563}. Nucleus {ECO:0000269|PubMed:17545563}.",NA,NA,NA
"Q96B26","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17545563}. Nucleus {ECO:0000269|PubMed:17545563}. Nucleus, nucleolus {ECO:0000250}.",NA,NA,NA
"Q92935","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.",NA,"TOPO_DOM 1..9; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 31..676; /note=Lumenal; /evidence=ECO:0000255","TRANSMEM 10..30; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"P03951","SUBCELLULAR LOCATION: Secreted.",NA,NA,NA
"P13726","SUBCELLULAR LOCATION: [Isoform 1]: Membrane {ECO:0000269|PubMed:12652293}; Single-pass type I membrane protein {ECO:0000269|PubMed:12652293}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000269|PubMed:12652293}.",NA,"TOPO_DOM 33..251; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 275..295; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 252..274; /note=Helical; /evidence=ECO:0000255"
"Q9BTP7","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17289582}.",NA,NA,NA
"Q9BQ89","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17499476}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:17499476}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000269|PubMed:17499476}. Note=Distributed throughout the cytoplasm during mitosis, accumulating at spindle poles.",NA,NA,NA
"Q9NRY5",NA,NA,NA,NA
"Q96MY7",NA,NA,NA,NA
"A6NJV1",NA,NA,NA,NA
"Q8N128",NA,NA,NA,NA
"A6NE01",NA,NA,NA,NA
"Q8IW50",NA,NA,NA,NA
"Q7Z4H9","SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.",NA,NA,NA
"P58499","SUBCELLULAR LOCATION: Secreted. Note=Present in insulin secretory granules and likely cosecreted with insulin. Localized in discrete vesicular and perinuclear structure.",NA,NA,NA
"Q8N2R8",NA,NA,NA,NA
"Q5TYM5","SUBCELLULAR LOCATION: Cytoplasm. Mitochondrion. Note=A V5 epitope-tagged construct has been shown to localize to the nucleus (PubMed:18676834). 5-7% of total FAM72A is associated with mitochondria around the nucleus in HEK293 cells (PubMed:21317926). {ECO:0000269|PubMed:18676834, ECO:0000269|PubMed:21317926}.",NA,NA,NA
"Q86X60",NA,NA,NA,NA
"H0Y354",NA,NA,NA,NA
"Q6L9T8",NA,NA,NA,NA
"Q5JUQ0",NA,NA,NA,NA
"Q5VT40",NA,NA,NA,NA
"Q2M2I3",NA,NA,NA,NA
"Q8N7N1",NA,NA,NA,NA
"P0C5J1",NA,NA,NA,NA
"Q96GI7",NA,NA,NA,NA
"Q8NCA5",NA,NA,NA,NA
"Q52LJ0","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:24608264}. Cytoplasm {ECO:0000269|PubMed:18445686, ECO:0000269|PubMed:24608264}.",NA,NA,NA
"Q96PS1",NA,NA,NA,NA
"Q9NW38","SUBCELLULAR LOCATION: Cytoplasm. Nucleus.",NA,NA,NA
"Q9NYQ8","SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}. Cell junction {ECO:0000269|PubMed:17900869}. Golgi apparatus, trans-Golgi network {ECO:0000250|UniProtKB:O88277}. Note=Localized at adhesion zippers (early state of adherens junctions) of keratinocytes. {ECO:0000269|PubMed:17900869}.",NA,"TOPO_DOM 19..4048; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 4070..4349; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 4049..4069; /note=Helical; /evidence=ECO:0000255"
"Q8N531",NA,NA,NA,NA
"Q8IX29",NA,NA,NA,NA
"Q6PJ61",NA,NA,NA,NA
"Q9UKB1","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}.",NA,NA,NA
"Q6X9E4",NA,NA,NA,NA
"Q969H0","SUBCELLULAR LOCATION: [Isoform 1]: Nucleus, nucleoplasm {ECO:0000269|PubMed:17558397, ECO:0000269|PubMed:25775507, ECO:0000269|PubMed:28007894}. Chromosome {ECO:0000269|PubMed:26774286}. Note=Localizes to site of double-strand breaks following phosphorylation by ATM. {ECO:0000269|PubMed:26774286}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm {ECO:0000269|PubMed:17558397, ECO:0000269|PubMed:28007894}.; SUBCELLULAR LOCATION: [Isoform 3]: Nucleus, nucleolus {ECO:0000269|PubMed:17558397, ECO:0000269|PubMed:25775507, ECO:0000269|PubMed:28007894}.",NA,NA,NA
"P12314","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12756162, ECO:0000269|PubMed:8611682}; Single-pass type I membrane protein {ECO:0000269|PubMed:12756162, ECO:0000269|PubMed:8611682}. Note=Stabilized at the cell membrane through interaction with FCER1G.",NA,"TOPO_DOM 16..292; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 314..374; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 293..313; /note=Helical; /evidence=ECO:0000255"
"Q92637","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:1430234}; Single-pass type I membrane protein {ECO:0000269|PubMed:1430234}.",NA,"TOPO_DOM 16..198; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 220..280; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 199..219; /note=Helical; /evidence=ECO:0000255"
"Q0JRZ9","SUBCELLULAR LOCATION: Membrane, clathrin-coated pit {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Note=Associated with forming but not mature clathrin-coated vesicles. The recruitment to coated-pits precede the one of clathrin and the adaptor protein complex AP-2 (By similarity). {ECO:0000250}.",NA,NA,NA
"Q8N0W3",NA,NA,NA,NA
"Q86UX7","SUBCELLULAR LOCATION: Cell projection, podosome {ECO:0000250}. Note=Present in the F-actin surrounding ring structure of podosomes, which are specialized adhesion structures of hematopoietic cells. {ECO:0000250}.",NA,NA,NA
"P07332","SUBCELLULAR LOCATION: Cytoplasm, cytosol. Cytoplasm, cytoskeleton. Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cytoplasmic vesicle. Golgi apparatus. Cell junction, focal adhesion. Note=Distributed throughout the cytosol when the kinase is not activated. Association with microtubules requires activation of the kinase activity. Shuttles between focal adhesions and cell-cell contacts in epithelial cells. Recruited to the lateral cell membrane in polarized epithelial cells by interaction with phosphorylated EZR. Detected at tubular membrane structures in the cytoplasm and at the cell periphery.",NA,NA,NA
"Q9UGM5","SUBCELLULAR LOCATION: Secreted {ECO:0000250}.",NA,NA,NA
"Q6ZV73","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}. Cytoplasm, cytoskeleton {ECO:0000305}.",NA,NA,NA
"P21802","SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Golgi apparatus. Cytoplasmic vesicle. Note=Detected on osteoblast plasma membrane lipid rafts. After ligand binding, the activated receptor is rapidly internalized and degraded.; SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein. Note=After ligand binding, the activated receptor is rapidly internalized and degraded.; SUBCELLULAR LOCATION: [Isoform 3]: Cell membrane; Single-pass type I membrane protein. Note=After ligand binding, the activated receptor is rapidly internalized and degraded.; SUBCELLULAR LOCATION: [Isoform 8]: Secreted.; SUBCELLULAR LOCATION: [Isoform 13]: Secreted.",NA,"TOPO_DOM 22..377; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 399..821; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 378..398; /note=Helical; /evidence=ECO:0000255"
"Q8N441","SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:12813049}; Single-pass type I membrane protein {ECO:0000269|PubMed:12813049}. Note=Predominantly localized in the plasma membrane but also detected in the Golgi and in secretory vesicles.",NA,"TOPO_DOM 25..378; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 400..504; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 379..399; /note=Helical; /evidence=ECO:0000255"
"Q92562","SUBCELLULAR LOCATION: Endosome membrane {ECO:0000269|PubMed:17556371}. Note=Localization requires VAC14 and PIKFYVE. {ECO:0000269|PubMed:17556371}.",NA,NA,NA
"Q86VR8","SUBCELLULAR LOCATION: Secreted {ECO:0000250}.",NA,NA,NA
"P68106","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Sarcoplasmic reticulum {ECO:0000250}.",NA,NA,NA
"O95302","SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000255|PROSITE-ProRule:PRU10138}.",NA,NA,NA
"O75955","SUBCELLULAR LOCATION: Cell membrane; Peripheral membrane protein {ECO:0000269|PubMed:20682791}. Endosome {ECO:0000269|PubMed:20682791}. Membrane, caveola {ECO:0000250|UniProtKB:O08917}; Peripheral membrane protein {ECO:0000250|UniProtKB:O08917}. Melanosome {ECO:0000269|PubMed:17081065}. Membrane raft {ECO:0000269|PubMed:25893292}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV (PubMed:17081065). Membrane-associated protein of caveola (By similarity). {ECO:0000250|UniProtKB:O08917, ECO:0000269|PubMed:17081065}.",NA,NA,NA
"Q14254","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20682791}; Peripheral membrane protein {ECO:0000269|PubMed:20682791}. Membrane, caveola {ECO:0000269|PubMed:20682791}; Peripheral membrane protein {ECO:0000269|PubMed:20682791}. Endosome {ECO:0000269|PubMed:20682791}. Membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}. Note=Membrane-associated protein of caveolae.",NA,NA,NA
"Q8IVF7","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:21834987}. Cell membrane {ECO:0000269|PubMed:22275430}; Lipid-anchor {ECO:0000255}. Note=Enriched in lamellipodia.",NA,NA,NA
"P31512","SUBCELLULAR LOCATION: Microsome membrane {ECO:0000250|UniProtKB:Q8K4B7}; Single-pass membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q8K4B7}; Single-pass membrane protein {ECO:0000255}.",NA,NA,"TRANSMEM 517..537; /note=Helical; /evidence=ECO:0000255"
"Q96RU3","SUBCELLULAR LOCATION: Cytoplasm. Cytoplasm, cytoskeleton. Cytoplasm, cell cortex. Lysosome. Cytoplasmic vesicle. Cell membrane; Peripheral membrane protein; Cytoplasmic side. Membrane, clathrin-coated pit. Note=Enriched in cortical regions coincident with F-actin. Also localizes to endocytic vesicles and lysosomes.",NA,NA,NA
"Q9BVV2",NA,NA,NA,NA
"P53539","SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P13346}.",NA,NA,NA
"Q12947","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:29374064, ECO:0000269|PubMed:9799607}.",NA,NA,NA
"Q12951","SUBCELLULAR LOCATION: Nucleus.",NA,NA,NA
"Q9UPW0","SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00089}.",NA,NA,NA
"Q01167","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:20810654, ECO:0000269|PubMed:24748658, ECO:0000269|PubMed:25805136}. Cytoplasm {ECO:0000250|UniProtKB:Q3UCQ1}.",NA,NA,NA
"P32314","SUBCELLULAR LOCATION: Nucleus.",NA,NA,NA
"O14772","SUBCELLULAR LOCATION: Cytoplasm.",NA,NA,NA
"Q92837","SUBCELLULAR LOCATION: Cytoplasm.",NA,NA,NA
"Q9BXM9",NA,NA,NA,NA
"P19883","SUBCELLULAR LOCATION: Secreted.",NA,NA,NA
"Q12841","SUBCELLULAR LOCATION: Secreted {ECO:0000305}.",NA,NA,NA
"E5RQL4",NA,NA,NA,NA
"Q9C0B1","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:22002720, ECO:0000269|PubMed:26458103, ECO:0000269|PubMed:28002401, ECO:0000269|PubMed:30197295}. Nucleus speckle {ECO:0000269|PubMed:22002720}. Cytoplasm {ECO:0000269|PubMed:30197295}. Note=Localizes mainly in the nucleus, where it is able to demethylate N(6)-methyladenosine (m6A) and N(6),2'-O-dimethyladenosine cap (m6A(m)) in U6 small nuclear RNA (snRNA), N(1)-methyladenine from tRNAs and internal m6A in mRNAs (PubMed:30197295). In the cytoplasm, mediates demethylation of m6A and m6A(m) in mRNAs and N(1)-methyladenine from tRNAs (PubMed:30197295). {ECO:0000269|PubMed:30197295}.",NA,NA,NA
"P04066","SUBCELLULAR LOCATION: Lysosome {ECO:0000269|PubMed:9741689}.",NA,NA,NA
"P22083","SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane; Single-pass type II membrane protein. Note=Membrane-bound form in trans cisternae of Golgi.",NA,"TOPO_DOM 1..147; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 173..530; /note=Lumenal; /evidence=ECO:0000255","TRANSMEM 148..172; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"Q9BQS8","SUBCELLULAR LOCATION: Cytoplasmic vesicle, autophagosome. Endosome. Lysosome. Note=Localizes to the external but not to the internal membrane of autophagosomes, and upon autophagosome/late endosome/lysosome fusion, it stays on the external surface of autolysosomes.",NA,NA,NA
"Q9NPG1","SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein. Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Cell surface {ECO:0000250|UniProtKB:Q61086}. Apical cell membrane {ECO:0000250|UniProtKB:Q61086}; Multi-pass membrane protein. Note=Colocalizes with FZD6 at the apical face of the cell (By similarity). {ECO:0000250|UniProtKB:Q61086}.",NA,"TOPO_DOM 23..205; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 227..237; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 259..288; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 310..328; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 350..374; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 396..420; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 442..477; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 499..666; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 206..226; /note=Helical; Name=1; /evidence=ECO:0000255; TRANSMEM 238..258; /note=Helical; Name=2; /evidence=ECO:0000255; TRANSMEM 289..309; /note=Helical; Name=3; /evidence=ECO:0000255; TRANSMEM 329..349; /note=Helical; Name=4; /evidence=ECO:0000255; TRANSMEM 375..395; /note=Helical; Name=5; /evidence=ECO:0000255; TRANSMEM 421..441; /note=Helical; Name=6; /evidence=ECO:0000255; TRANSMEM 478..498; /note=Helical; Name=7; /evidence=ECO:0000255"
"O75084","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:27386966}; Multi-pass membrane protein {ECO:0000269|PubMed:27386966}. Endosome membrane {ECO:0000269|PubMed:27386966}; Multi-pass membrane protein {ECO:0000269|PubMed:27386966}. Note=Associated to the plasma membrane in the presence of FZD7 and phosphatidylinositol 4,5-bisphosphate (PIP2). Localized in recycling endosomes in other conditions. {ECO:0000269|PubMed:27386966}.",NA,"TOPO_DOM 33..256; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 278..288; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 310..336; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 358..379; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 401..423; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 445..470; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 492..528; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 550..574; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 257..277; /note=Helical; Name=1; /evidence=ECO:0000255; TRANSMEM 289..309; /note=Helical; Name=2; /evidence=ECO:0000255; TRANSMEM 337..357; /note=Helical; Name=3; /evidence=ECO:0000255; TRANSMEM 380..400; /note=Helical; Name=4; /evidence=ECO:0000255; TRANSMEM 424..444; /note=Helical; Name=5; /evidence=ECO:0000255; TRANSMEM 471..491; /note=Helical; Name=6; /evidence=ECO:0000255; TRANSMEM 529..549; /note=Helical; Name=7; /evidence=ECO:0000255"
"Q7L622","SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:17239372}. Cytoplasm {ECO:0000269|PubMed:17239372}. Note=Shuttles between the nucleus and the cytoplasm. In the nucleus, delocalizes from the nucleolus to the nucleoplasm in response to DNA damage. {ECO:0000269|PubMed:17239372}.",NA,NA,NA
"P10253","SUBCELLULAR LOCATION: Lysosome {ECO:0000269|PubMed:17897319}. Lysosome membrane {ECO:0000269|PubMed:17897319}.",NA,NA,NA
"O95166","SUBCELLULAR LOCATION: Cytoplasmic vesicle, autophagosome membrane {ECO:0000269|PubMed:12507496, ECO:0000269|PubMed:15169837, ECO:0000269|PubMed:17580304, ECO:0000269|PubMed:19056683}. Endomembrane system {ECO:0000250|UniProtKB:P60517}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:P60517}. Golgi apparatus membrane {ECO:0000250|UniProtKB:P60517}. Cytoplasmic vesicle {ECO:0000250|UniProtKB:P60517}. Note=Largely associated with intracellular membrane structures including the Golgi apparatus and postsynaptic cisternae. Colocalizes with microtubules (By similarity). Localizes also to discrete punctae along the ciliary axoneme (By similarity). {ECO:0000250|UniProtKB:P60517, ECO:0000250|UniProtKB:Q9DCD6}.",NA,NA,NA
"Q9H0R8","SUBCELLULAR LOCATION: Cytoplasmic vesicle, autophagosome {ECO:0000269|PubMed:17580304, ECO:0000269|PubMed:20404487, ECO:0000269|PubMed:30661429, ECO:0000305|PubMed:23690988}. Cytoplasmic vesicle membrane {ECO:0000269|PubMed:20404487}; Lipid-anchor {ECO:0000269|PubMed:20404487}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q0VGK0}. Endoplasmic reticulum {ECO:0000250|UniProtKB:Q0VGK0}. Golgi apparatus {ECO:0000250|UniProtKB:Q0VGK0}.",NA,NA,NA
"O14764","SUBCELLULAR LOCATION: Postsynaptic cell membrane; Multi-pass membrane protein. Cell membrane; Multi-pass membrane protein.",NA,"TOPO_DOM 17..248; /note=Extracellular; /evidence=ECO:0000305; TOPO_DOM 332..429; /note=Cytoplasmic; /evidence=ECO:0000305","TRANSMEM 249..271; /note=Helical; /evidence=ECO:0000305; TRANSMEM 275..297; /note=Helical; /evidence=ECO:0000305; TRANSMEM 309..331; /note=Helical; /evidence=ECO:0000305; TRANSMEM 430..452; /note=Helical; /evidence=ECO:0000305"
"Q99259",NA,NA,NA,NA
"O14976","SUBCELLULAR LOCATION: Cytoplasm, perinuclear region {ECO:0000269|PubMed:10625686}. Golgi apparatus, trans-Golgi network {ECO:0000269|PubMed:10625686}. Cell junction, focal adhesion {ECO:0000305|PubMed:10625686}. Note=Localizes to the perinuclear area and to the trans-Golgi network. Also seen on the plasma membrane, probably at focal adhesions.",NA,NA,NA
"P22466","SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:1370155, ECO:0000269|PubMed:1722333}.",NA,NA,NA
"Q99999","SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.",NA,"TOPO_DOM 1..14; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 36..423; /note=Lumenal; /evidence=ECO:0000255","TRANSMEM 15..35; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"Q8N428","SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.",NA,"TOPO_DOM 1..6; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 27..558; /note=Lumenal; /evidence=ECO:0000255","TRANSMEM 7..26; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"Q6P9A2","SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.",NA,"TOPO_DOM 1..12; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 36..607; /note=Lumenal; /evidence=ECO:0000255","TRANSMEM 13..35; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"Q7Z7M9","SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.",NA,"TOPO_DOM 1..12; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 36..940; /note=Lumenal; /evidence=ECO:0000255","TRANSMEM 13..35; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"Q9NY28","SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250|UniProtKB:Q9HCQ5}; Single-pass type II membrane protein {ECO:0000255}.",NA,"TOPO_DOM 1..6; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 30..637; /note=Lumenal; /evidence=ECO:0000255","TRANSMEM 7..29; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"Q9HCQ5","SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.",NA,"TOPO_DOM 1..6; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 30..603; /note=Lumenal; /evidence=ECO:0000255","TRANSMEM 7..29; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"P04406","SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:12829261}. Nucleus {ECO:0000250|UniProtKB:P04797}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:12829261}. Membrane {ECO:0000269|PubMed:12829261}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:P04797}. Note=Translocates to the nucleus following S-nitrosylation and interaction with SIAH1, which contains a nuclear localization signal (By similarity). Postnuclear and Perinuclear regions (PubMed:12829261). {ECO:0000250|UniProtKB:P04797, ECO:0000269|PubMed:12829261}.",NA,NA,NA
"Q8N292","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18559951}; Single-pass membrane protein {ECO:0000269|PubMed:18559951}.",NA,NA,"TRANSMEM 11..31; /note=Helical; /evidence=ECO:0000255"
"Q5VVW2",NA,NA,NA,NA
"Q9UFP1","SUBCELLULAR LOCATION: Secreted {ECO:0000305}. Endoplasmic reticulum {ECO:0000250|UniProtKB:Q3UY90}. Golgi apparatus {ECO:0000250|UniProtKB:Q3UY90}. Membrane, caveola {ECO:0000269|PubMed:30188967}. Note=Requires caveolae biogenesis to be secreted from the endoplasmic reticulum going through the Golgi apparatus where is post-translationally processed to the mature form. {ECO:0000250|UniProtKB:Q3UY90}.",NA,NA,NA
"P01275","SUBCELLULAR LOCATION: Secreted {ECO:0000305}.; SUBCELLULAR LOCATION: [Glucagon-like peptide 1]: Secreted {ECO:0000269|PubMed:22037645}.",NA,NA,NA
"Q9NP62","SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00245}.",NA,NA,NA
"O95395","SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.",NA,"TOPO_DOM 1..6; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 27..438; /note=Lumenal; /evidence=ECO:0000255","TRANSMEM 7..26; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"Q6ZNI0","SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.",NA,"TOPO_DOM 1..8; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 26..430; /note=Extracellular; /evidence=ECO:0000255","TRANSMEM 9..25; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"P23434","SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:P20821}.",NA,NA,NA
