"Gene","Gene.synonym","Ensembl","Gene.description","Uniprot","Chromosome","Position","Protein.class","Biological.process","Molecular.function","Disease.involvement","Evidence","HPA.evidence","UniProt.evidence","NeXtProt.evidence","RNA.tissue.specificity","RNA.tissue.distribution","RNA.tissue.specificity.score","RNA.tissue.specific.nTPM","RNA.single.cell.type.specificity","RNA.single.cell.type.distribution","RNA.single.cell.type.specificity.score","RNA.single.cell.type.specific.nTPM","RNA.cancer.specificity","RNA.cancer.distribution","RNA.cancer.specificity.score","RNA.cancer.specific.FPKM","RNA.brain.regional.specificity","RNA.brain.regional.distribution","RNA.brain.regional.specificity.score","RNA.brain.regional.specific.nTPM","RNA.blood.cell.specificity","RNA.blood.cell.distribution","RNA.blood.cell.specificity.score","RNA.blood.cell.specific.nTPM","RNA.blood.lineage.specificity","RNA.blood.lineage.distribution","RNA.blood.lineage.specificity.score","RNA.blood.lineage.specific.nTPM","RNA.cell.line.specificity","RNA.cell.line.distribution","RNA.cell.line.specificity.score","RNA.cell.line.specific.nTPM","RNA.tissue.cell.type.enrichment","RNA.mouse.brain.regional.specificity","RNA.mouse.brain.regional.distribution","RNA.mouse.brain.regional.specificity.score","RNA.mouse.brain.regional.specific.nTPM","RNA.pig.brain.regional.specificity","RNA.pig.brain.regional.distribution","RNA.pig.brain.regional.specificity.score","RNA.pig.brain.regional.specific.nTPM","Antibody","Reliability..IH.","Reliability..Mouse.Brain.","Reliability..IF.","Subcellular.location","Secretome.location","CCD.Protein","CCD.Transcript","Blood.concentration...Conc..blood.IM..pg.L.","Blood.concentration...Conc..blood.MS..pg.L.","Blood.expression.cluster","Tissue.expression.cluster","Cell.line.expression.cluster","Single.cell.expression.cluster","Subcellular.main.location","Subcellular.additional.location","Antibody.RRID","Pathology.prognostics...Breast.cancer","Pathology.prognostics...Cervical.cancer","Pathology.prognostics...Colorectal.cancer","Pathology.prognostics...Endometrial.cancer","Pathology.prognostics...Glioma","Pathology.prognostics...Head.and.neck.cancer","Pathology.prognostics...Liver.cancer","Pathology.prognostics...Lung.cancer","Pathology.prognostics...Melanoma","Pathology.prognostics...Ovarian.cancer","Pathology.prognostics...Pancreatic.cancer","Pathology.prognostics...Prostate.cancer","Pathology.prognostics...Renal.cancer","Pathology.prognostics...Stomach.cancer","Pathology.prognostics...Testis.cancer","Pathology.prognostics...Thyroid.cancer","Pathology.prognostics...Urothelial.cancer"
"ZSWIM8","4832404P21Rik, KIAA0913","ENSG00000214655","Zinc finger SWIM-type containing 8","A7E2V4","10","73785606-73801797","Predicted intracellular proteins","Ubl conjugation pathway","","","Evidence at protein level","Evidence at transcript level","Evidence at protein level","Evidence at protein level","Low tissue specificity","Detected in all",NA,"","Low cell type specificity","Detected in many",NA,"","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Low immune cell specificity","Detected in many",NA,"","Low lineage specificity","Detected in all",NA,"","Low cancer specificity","Detected in all",NA,"","","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA041244","Approved","","Approved","Plasma membrane,Cytosol","",NA,NA,NA,NA,"Cluster 46: Basophils - DNA binding","Cluster 35: Non-specific - Unknown function","Cluster 67: Non-specific - Mitochondria & RNA binding","Cluster 12: Non-specific - Chromatin organization","Plasma membrane, Cytosol","","HPA041244: AB_10794269","unprognostic (8.83e-2)","unprognostic (2.86e-1)","unprognostic (2.89e-3)","unprognostic (1.44e-1)","unprognostic (4.00e-2)","prognostic favorable (5.61e-4)","unprognostic (3.11e-1)","unprognostic (1.64e-1)","unprognostic (2.97e-1)","unprognostic (1.69e-1)","unprognostic (2.24e-3)","unprognostic (1.31e-1)","unprognostic (1.52e-1)","unprognostic (2.41e-1)","unprognostic (1.98e-1)","unprognostic (2.49e-1)","unprognostic (2.52e-1)"
"ZYX","","ENSG00000159840","Zyxin","Q15942","7","143381295-143391111","Plasma proteins, Predicted intracellular proteins","Cell adhesion, Host-virus interaction","","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in all",NA,"endometrium 1: 596.6","Cell type enhanced","Detected in many",NA,"Kupffer cells: 204.3","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Immune cell enhanced","Detected in all",NA,"neutrophil: 163.3","Group enriched","Detected in all",4,"dendritic cells: 58.4;granulocytes: 163.3;monocytes: 83.6","Low cancer specificity","Detected in all",NA,"","Adipose subcutaneous - Adipose progenitor cells, Colon - Smooth muscle cells, Prostate - Smooth muscle cells","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA004835, CAB009321, HPA073497, CAB075747","Enhanced","","Supported","Plasma membrane,Actin filaments,Focal adhesion sites","",NA,NA,NA,1.8e+08,"Cluster 8: Neutrophils - Inflammatory response","Cluster 89: Fibroblasts - ECM organization","Cluster 20: Connective tissue cells - ECM organization","Cluster 4: Platelets - Platelet activation","Focal adhesion sites","Plasma membrane, Actin filaments","CAB009321: AB_2221290, CAB075747: AB_2665753, HPA004835: AB_1080771, HPA073497: AB_2686611","unprognostic (1.96e-2)","unprognostic (5.35e-2)","unprognostic (2.36e-2)","unprognostic (1.25e-1)","unprognostic (1.44e-2)","unprognostic (1.18e-1)","unprognostic (2.21e-3)","unprognostic (1.66e-3)","unprognostic (2.60e-1)","unprognostic (4.22e-1)","unprognostic (1.98e-1)","unprognostic (2.43e-1)","prognostic unfavorable (7.92e-5)","unprognostic (1.39e-1)","unprognostic (8.12e-2)","unprognostic (1.95e-1)","unprognostic (6.72e-2)"
"AADAT","KAT2, KATII, KYAT2","ENSG00000109576","Aminoadipate aminotransferase","Q8N5Z0","4","170060222-170091699","Enzymes, Metabolic proteins, Predicted intracellular proteins","","Aminotransferase, Transferase","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enriched","Detected in many",5,"liver: 67.1","Cell type enhanced","Detected in many",NA,"Astrocytes: 21.5;Extravillous trophoblasts: 79.5;Hepatocytes: 28.1","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in many",NA,"prostate cancer: 45.4","Liver - Hepatocytes","Not detected","Not detected",NA,"","Low region specificity","Detected in many",NA,"","HPA037502","Enhanced","","Approved","Vesicles,Plasma membrane","",NA,NA,NA,NA,"","Cluster 85: Liver - Metabolism","Cluster 24: Prostate cancer - Lipid metabolism","Cluster 54: Extravillous trophoblasts - Unknown function","Plasma membrane","Vesicles","HPA037502: AB_10671759","unprognostic (1.90e-1)","unprognostic (1.82e-2)","prognostic favorable (5.59e-4)","unprognostic (4.21e-2)","unprognostic (1.30e-1)","unprognostic (1.06e-1)","unprognostic (7.41e-2)","unprognostic (1.03e-2)","unprognostic (2.97e-2)","unprognostic (3.38e-2)","unprognostic (1.23e-2)","unprognostic (3.55e-1)","unprognostic (1.35e-1)","unprognostic (1.23e-2)","unprognostic (1.39e-1)","unprognostic (7.28e-3)","unprognostic (1.17e-2)"
"AAK1","DKFZp686K16132, KIAA1048","ENSG00000115977","AP2 associated kinase 1","Q2M2I8","2","69457997-69674349","Enzymes, Predicted intracellular proteins","Endocytosis","Kinase, Serine/threonine-protein kinase, Transferase","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"parathyroid gland: 89.7","Cell type enhanced","Detected in all",NA,"Cone photoreceptor cells: 439.4;Rod photoreceptor cells: 744.9","Low cancer specificity","Detected in all",NA,"","Region enriched","Detected in many",6,"cerebral cortex: 31.0","Low immune cell specificity","Detected in many",NA,"","Low lineage specificity","Detected in many",NA,"","Low cancer specificity","Detected in all",NA,"","Thyroid - Thyroid glandular cells","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA017931, HPA020289","Enhanced","","Approved","Vesicles,Plasma membrane,Cytosol","",NA,"No",NA,NA,"Cluster 14: Monocytes - Unknown function","Cluster 48: Parathyroid gland - membrane proteins","Cluster 45: Non-specific - Cell proliferation","Cluster 64: Non-specific - Transcription","Vesicles, Plasma membrane","Cytosol","HPA017931: AB_1844406, HPA020289: AB_1844407","unprognostic (2.11e-3)","unprognostic (3.18e-2)","unprognostic (3.67e-1)","unprognostic (1.01e-3)","unprognostic (5.06e-2)","unprognostic (4.04e-2)","unprognostic (4.23e-2)","unprognostic (1.14e-1)","unprognostic (3.52e-1)","prognostic unfavorable (3.19e-4)","unprognostic (1.24e-1)","unprognostic (7.65e-2)","unprognostic (4.18e-2)","unprognostic (1.30e-1)","unprognostic (5.40e-2)","unprognostic (6.76e-3)","unprognostic (1.18e-1)"
"ABCA7","ABCX","ENSG00000064687","ATP binding cassette subfamily A member 7","Q8IZY2","19","1039997-1065572","Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters","Lipid transport, Phagocytosis, Transport","Translocase","Alzheimer disease, Amyloidosis, Neurodegeneration","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"bone marrow: 27.4;pituitary gland: 28.7","Group enriched","Detected in many",4,"Alveolar cells type 1: 129.8;Bipolar cells: 114.1;Cone photoreceptor cells: 117.2;Extravillous trophoblasts: 369.2;Rod photoreceptor cells: 243.8","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Low immune cell specificity","Detected in many",NA,"","Low lineage specificity","Detected in many",NA,"","Low cancer specificity","Detected in all",NA,"","","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in some",NA,"","HPA041564","Enhanced","","Supported","Golgi apparatus,Plasma membrane,Cell Junctions","",NA,NA,NA,NA,"Cluster 52: Eosinophils - Transcription","Cluster 20: Retina & Lymphoid tissues - Unknown function","Cluster 4: Non-specific - Transcription","Cluster 54: Extravillous trophoblasts - Unknown function","Golgi apparatus, Plasma membrane","Cell Junctions","HPA041564: AB_2677550","unprognostic (1.52e-1)","unprognostic (1.12e-1)","prognostic unfavorable (7.26e-4)","prognostic favorable (1.12e-4)","unprognostic (8.88e-2)","unprognostic (1.13e-2)","unprognostic (2.25e-1)","unprognostic (4.00e-2)","unprognostic (1.04e-1)","unprognostic (2.24e-2)","unprognostic (1.51e-3)","unprognostic (3.68e-2)","unprognostic (8.99e-3)","unprognostic (2.08e-2)","unprognostic (3.66e-1)","unprognostic (7.88e-2)","unprognostic (7.85e-2)"
"ABCB1","ABC20, CD243, CLCS, GP170, MDR1, P-gp, PGY1","ENSG00000085563","ATP binding cassette subfamily B member 1","P08183","7","87503017-87713323","Cancer-related genes, CD markers, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters","Lipid transport, Transport","Translocase","Cancer-related genes","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"adrenal gland: 101.7;intestine: 70.7","Cell type enhanced","Detected in many",NA,"Cholangiocytes: 102.0;Microglial cells: 555.5;Proximal enterocytes: 250.9","Cancer enhanced","Detected in many",NA,"renal cancer: 14.2","Low region specificity","Detected in all",NA,"","Immune cell enhanced","Detected in many",NA,"MAIT T-cell: 27.2;NK-cell: 17.9","Group enriched","Detected in many",9,"NK-cells: 17.9;T-cells: 27.2","Cancer enhanced","Detected in many",NA,"colorectal cancer: 24.8;liver cancer: 18.1","Prostate - Endothelial cells","Low region specificity","Detected in all",NA,"","Region enhanced","Detected in many",NA,"cerebellum: 12.2","CAB001716, HPA002199, HPA074614","Enhanced","","Supported","Plasma membrane","",NA,NA,NA,NA,"Cluster 16: MAIT-cells - Unknown function","Cluster 45: Intestine - Brush border","Cluster 19: Stomach & Colon cancer - Absorption","Cluster 59: Proximal enterocytes - Transmembrane transport","Plasma membrane","","CAB001716: , HPA002199: AB_1844428, HPA074614: ","unprognostic (5.38e-3)","unprognostic (2.45e-2)","unprognostic (1.42e-1)","unprognostic (1.06e-1)","unprognostic (2.25e-2)","unprognostic (9.99e-5)","unprognostic (2.23e-3)","unprognostic (5.65e-3)","unprognostic (1.14e-1)","unprognostic (5.17e-2)","prognostic favorable (3.33e-4)","unprognostic (5.19e-1)","prognostic favorable (2.95e-4)","unprognostic (2.06e-1)","unprognostic (1.50e-1)","unprognostic (3.83e-1)","unprognostic (6.12e-2)"
"ABCC1","GS-X, MRP, MRP1","ENSG00000103222","ATP binding cassette subfamily C member 1","P33527","16","15949138-16143257","Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters","Lipid transport, Transport","Hydrolase, Translocase","Cancer-related genes, Deafness, FDA approved drug targets, Non-syndromic deafness","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Low tissue specificity","Detected in many",NA,"","Low cell type specificity","Detected in many",NA,"","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in single",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Low cancer specificity","Detected in all",NA,"","Breast - Fibroblasts, Thyroid - Thyroid glandular cells","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA002380, HPA076011","Uncertain","","Supported","Plasma membrane,Cell Junctions","",NA,NA,NA,NA,"","Cluster 72: Non-specific - Transcription","Cluster 61: Liver - Metabolism","Cluster 1: T-cells - Immune response","Plasma membrane","Cell Junctions","HPA002380: AB_1844432, HPA076011: ","unprognostic (9.97e-2)","unprognostic (2.06e-1)","unprognostic (2.05e-2)","unprognostic (2.94e-1)","unprognostic (4.89e-2)","unprognostic (1.15e-1)","prognostic unfavorable (5.42e-5)","unprognostic (3.42e-1)","unprognostic (3.31e-1)","unprognostic (4.07e-2)","unprognostic (9.78e-3)","unprognostic (7.19e-2)","prognostic unfavorable (1.55e-6)","unprognostic (1.84e-1)","unprognostic (1.15e-1)","unprognostic (1.43e-2)","unprognostic (1.80e-2)"
"ABCC3","cMOAT2, EST90757, MLP2, MOAT-D, MRP3","ENSG00000108846","ATP binding cassette subfamily C member 3","O15438","17","50634777-50692253","Cancer-related genes, Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters","Lipid transport, Transport","Translocase","Cancer-related genes","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"adrenal gland: 59.1;liver: 50.4","Cell type enhanced","Detected in many",NA,"Cholangiocytes: 223.3;Distal enterocytes: 196.7;Gastric mucus-secreting cells: 231.9;Hepatocytes: 152.3;Late spermatids: 130.5;Paneth cells: 185.5","Low cancer specificity","Detected in many",NA,"","Low region specificity","Detected in many",NA,"","Immune cell enhanced","Detected in some",NA,"intermediate monocyte: 5.1;non-classical monocyte: 6.4","Lineage enriched","Detected in many",5,"monocytes: 6.4","Low cancer specificity","Detected in many",NA,"","Prostate - Prostate basal glandular cells, Stomach - Gastric mucous cells","Low region specificity","Detected in many",NA,"","Low region specificity","Detected in many",NA,"","CAB037136, HPA048483","Enhanced","","Supported","Plasma membrane","",NA,NA,NA,NA,"Cluster 7: Monocytes - Unknown function","Cluster 29: Non-specific - Vesicular transport","Cluster 61: Liver - Metabolism","Cluster 50: Enterocytes - Absorption","Plasma membrane","","CAB037136: AB_477165, HPA048483: AB_2680414","unprognostic (1.57e-2)","unprognostic (1.60e-1)","unprognostic (1.53e-1)","unprognostic (1.65e-2)","unprognostic (9.67e-3)","unprognostic (6.19e-3)","unprognostic (7.44e-3)","unprognostic (8.20e-2)","unprognostic (3.18e-1)","unprognostic (5.13e-2)","prognostic unfavorable (9.57e-4)","unprognostic (1.60e-3)","prognostic unfavorable (4.68e-6)","unprognostic (3.42e-1)","unprognostic (4.77e-2)","unprognostic (4.44e-2)","unprognostic (1.57e-3)"
"ABCC4","EST170205, MOAT-B, MOATB, MRP4","ENSG00000125257","ATP binding cassette subfamily C member 4","O15439","13","95019835-95301475","Enzymes, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters","Lipid transport, Transport","Translocase","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"prostate: 41.1","Cell type enriched","Detected in many",4,"Microglial cells: 197.9","Cancer enriched","Detected in all",8,"prostate cancer: 90.8","Low region specificity","Detected in all",NA,"","Low immune cell specificity","Detected in many",NA,"","Low lineage specificity","Detected in many",NA,"","Cancer enhanced","Detected in all",NA,"prostate cancer: 65.1","Lung - Alveolar cells type 2, Prostate - Prostate glandular cells, Testis - Spermatogonia","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA002476","Enhanced","","Supported","Nucleoli,Golgi apparatus,Plasma membrane","",NA,NA,NA,NA,"Cluster 27: Non-specific - Gene expression","Cluster 1: Thyroid gland - Transcription","Cluster 62: Granulocytes - Innate immune response","Cluster 4: Platelets - Platelet activation","Plasma membrane","Nucleoli, Golgi apparatus","HPA002476: AB_1844434","unprognostic (8.77e-2)","unprognostic (1.94e-2)","unprognostic (1.48e-1)","prognostic unfavorable (9.89e-4)","unprognostic (2.83e-2)","unprognostic (1.23e-1)","unprognostic (7.45e-3)","unprognostic (2.40e-2)","unprognostic (9.96e-2)","unprognostic (2.60e-2)","unprognostic (1.28e-1)","unprognostic (2.55e-2)","prognostic favorable (2.25e-10)","unprognostic (7.44e-3)","unprognostic (1.67e-1)","unprognostic (5.55e-2)","unprognostic (2.35e-2)"
"ABCC6","ARA, EST349056, MLP1, MRP6, PXE, URG7","ENSG00000091262","ATP binding cassette subfamily C member 6","O95255","16","16149565-16223522","Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters","Sensory transduction, Transport, Vision","Translocase","Cancer-related genes, Disease variant","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enriched","Detected in many",5,"liver: 134.2","Cell type enhanced","Detected in many",NA,"Cholangiocytes: 19.2;Hepatocytes: 47.3;Proximal enterocytes: 23.7;Proximal tubular cells: 45.8;Respiratory ciliated cells: 17.1","Group enriched","Detected in many",5,"liver cancer: 16.7;renal cancer: 5.0","Low region specificity","Detected in single",NA,"","Immune cell enriched","Detected in single",6,"classical monocyte: 3.4","Lineage enriched","Detected in single",7,"monocytes: 3.4","Cancer enhanced","Detected in many",NA,"liver cancer: 7.1","Adipose visceral - Adipocytes (Visceral), Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Lung - Alveolar cells type 2, Skin - Eccrine sweat gland cells","Not detected","Not detected",NA,"","","",NA,"","HPA038105","","","Supported","Nucleoplasm,Plasma membrane","",NA,NA,NA,NA,"Cluster 25: Monocytes - Inflammatory response","Cluster 85: Liver - Metabolism","Cluster 35: Liver cancer - Metabolism","Cluster 60: Proximal tubular cells - Absorption","Plasma membrane","Nucleoplasm","HPA038105: AB_2675835","unprognostic (1.32e-1)","unprognostic (1.11e-1)","unprognostic (5.98e-2)","unprognostic (3.15e-2)","unprognostic (1.59e-1)","unprognostic (3.09e-1)","prognostic favorable (3.82e-4)","unprognostic (6.54e-3)","unprognostic (3.64e-1)","unprognostic (9.10e-2)","unprognostic (1.30e-1)","unprognostic (1.65e-1)","unprognostic (1.12e-3)","unprognostic (3.42e-1)","unprognostic (2.00e-1)","unprognostic (4.91e-2)","unprognostic (1.41e-1)"
"ABCG2","ABCP, BCRP, CD338, EST157481, MXR","ENSG00000118777","ATP binding cassette subfamily G member 2 (Junior blood group)","Q9UNQ0","4","88090150-88231628","Cancer-related genes, CD markers, Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters","Lipid transport, Transport","Translocase","Cancer-related genes","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"intestine: 88.3","Cell type enhanced","Detected in many",NA,"Basal prostatic cells: 200.4;Distal enterocytes: 74.3;Extravillous trophoblasts: 90.4;Hofbauer cells: 126.3;Microglial cells: 180.6;Proximal enterocytes: 215.7","Cancer enhanced","Detected in many",NA,"glioma: 9.3","Low region specificity","Detected in all",NA,"","Immune cell enhanced","Detected in some",NA,"MAIT T-cell: 2.2","Low lineage specificity","Detected in many",NA,"","Cancer enhanced","Detected in many",NA,"testis cancer: 26.1","Liver - Hepatocytes","Not detected","Not detected",NA,"","Low region specificity","Detected in all",NA,"","CAB037299, HPA054719","Enhanced","","Supported","Nucleoplasm,Plasma membrane","",NA,NA,NA,NA,"Cluster 16: MAIT-cells - Unknown function","Cluster 45: Intestine - Brush border","Cluster 6: BEWO - Unknown function","Cluster 70: Basal prostatic cells - Lipid metabolism","Plasma membrane","Nucleoplasm","CAB037299: AB_476804, HPA054719: ","unprognostic (5.04e-1)","unprognostic (3.05e-2)","unprognostic (2.01e-1)","unprognostic (1.10e-1)","unprognostic (1.01e-3)","unprognostic (9.19e-2)","unprognostic (1.09e-1)","unprognostic (1.30e-1)","unprognostic (9.14e-2)","unprognostic (1.37e-1)","unprognostic (3.01e-3)","unprognostic (4.52e-2)","unprognostic (1.67e-3)","unprognostic (8.82e-3)","unprognostic (7.04e-2)","unprognostic (1.30e-1)","unprognostic (1.92e-1)"
"ABLIM3","KIAA0843","ENSG00000173210","Actin binding LIM protein family member 3","O94929","5","149141483-149260542","Plasma proteins, Predicted intracellular proteins","","","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enhanced","Detected in many",NA,"liver: 115.8","Cell type enhanced","Detected in many",NA,"Adipocytes: 180.4;Cardiomyocytes: 69.9;Hepatocytes: 95.2;Oligodendrocyte precursor cells: 61.1","Low cancer specificity","Detected in many",NA,"","Low region specificity","Detected in all",NA,"","Not detected in immune cells","Not detected",NA,"","Not detected","Not detected",NA,"","Cancer enhanced","Detected in many",NA,"Kidney cancer: 38.2","Adipose visceral - Endothelial cells, Kidney - Proximal tubular cells, Prostate - Fibroblasts","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA003245","Approved","","Approved","Nucleoplasm,Plasma membrane,Cell Junctions","",NA,NA,NA,30000,"Cluster 9: Neutrophils - Innate immune response","Cluster 39: Non-specific - Mitochondria","Cluster 68: Kidney - Mixed function","Cluster 66: Endothelial cells - Angiogenesis","Nucleoplasm, Plasma membrane","Cell Junctions","HPA003245: AB_1078083","unprognostic (1.07e-1)","unprognostic (1.31e-1)","unprognostic (9.87e-2)","unprognostic (1.75e-1)","unprognostic (8.74e-2)","unprognostic (4.19e-2)","unprognostic (9.48e-3)","unprognostic (4.37e-3)","unprognostic (1.05e-1)","unprognostic (1.09e-2)","unprognostic (4.17e-3)","unprognostic (2.42e-1)","prognostic unfavorable (1.28e-4)","unprognostic (3.12e-2)","unprognostic (8.10e-2)","unprognostic (2.45e-3)","unprognostic (1.20e-1)"
"AC004922.1","","ENSG00000284292","Novel protein, ARPC1A and ARPC1B readthrough","","7","99325879-99394653","Predicted intracellular proteins","","","","Evidence at protein level","Evidence at protein level","","","Low tissue specificity","Detected in many",NA,"","Group enriched","Detected in some",4,"Basal squamous epithelial cells: 2.0;Gastric mucus-secreting cells: 3.6;Plasma cells: 2.4;Schwann cells: 4.2;Squamous epithelial cells: 3.4","","",NA,"","Not detected","Not detected",NA,"","Low immune cell specificity","Detected in all",NA,"","Low lineage specificity","Detected in all",NA,"","Low cancer specificity","Detected in many",NA,"","","Low region specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","HPA004334","Uncertain","","Approved","Cell Junctions,Cytosol","",NA,NA,NA,NA,"Cluster 31: Non-specific - Inflammatory response","Cluster 64: Macrophages - Immune response","Cluster 31: Non-specific - Transcription","Cluster 61: Non-specific - Transcription","Cell Junctions","Cytosol","HPA004334: AB_1078215","","","","","","","","","","","","","","","","",""
"ADA","ADA1","ENSG00000196839","Adenosine deaminase","P00813","20","44619522-44652233","Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins","Cell adhesion, Nucleotide metabolism","Hydrolase","Disease variant, FDA approved drug targets, Hereditary hemolytic anemia, SCID","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Group enriched","Detected in many",8,"intestine: 507.2;lymphoid tissue: 259.0","Cell type enhanced","Detected in many",NA,"dendritic cells: 109.2;Extravillous trophoblasts: 153.3;monocytes: 78.7","Low cancer specificity","Detected in all",NA,"","Low region specificity","Detected in all",NA,"","Group enriched","Detected in many",4,"intermediate monocyte: 168.5;NK-cell: 94.5;non-classical monocyte: 362.8;plasmacytoid DC: 218.6","Group enriched","Detected in all",4,"dendritic cells: 218.6;monocytes: 362.8;NK-cells: 94.5","Cancer enhanced","Detected in all",NA,"Leukemia: 175.6","","Low region specificity","Detected in many",NA,"","Low region specificity","Detected in all",NA,"","HPA001399, CAB004307, HPA023884","Enhanced","","Supported","Plasma membrane,Cytosol","","No","No",NA,470000,"Cluster 47: Plasmacytoid DCs - Protein folding","Cluster 9: Intestine - Unknown function","Cluster 12: Lymphoid cancers - Adaptive immune response","Cluster 54: Extravillous trophoblasts - Unknown function","Plasma membrane","Cytosol","CAB004307: AB_626634, HPA001399: AB_1078099, HPA023884: AB_1844573","unprognostic (4.30e-2)","unprognostic (6.89e-2)","unprognostic (3.96e-2)","prognostic unfavorable (1.23e-7)","unprognostic (9.33e-2)","unprognostic (9.07e-3)","prognostic unfavorable (6.77e-5)","prognostic unfavorable (2.20e-4)","unprognostic (1.59e-1)","unprognostic (2.16e-1)","unprognostic (3.66e-2)","unprognostic (3.48e-1)","prognostic unfavorable (2.94e-14)","unprognostic (2.29e-1)","unprognostic (1.04e-2)","unprognostic (1.53e-1)","unprognostic (1.82e-1)"
"ADAM12","MCMPMltna, MLTN","ENSG00000148848","ADAM metallopeptidase domain 12","O43184","10","126012381-126388455","Predicted membrane proteins, Predicted secreted proteins, Transporters","Cell adhesion","Hydrolase, Metalloprotease, Protease","","Evidence at protein level","Evidence at protein level","Evidence at protein level","Evidence at protein level","Tissue enriched","Detected in many",9,"placenta: 166.5","Cell type enriched","Detected in many",4,"Extravillous trophoblasts: 482.7","Low cancer specificity","Detected in many",NA,"","Low region specificity","Detected in all",NA,"","Immune cell enriched","Detected in some",5,"MAIT T-cell: 6.1","Lineage enriched","Detected in single",62,"T-cells: 6.1","Cancer enhanced","Detected in many",NA,"Brain cancer: 49.4","Heart muscle - Fibroblasts, Skeletal muscle - Fibroblasts","Low region specificity","Detected in many",NA,"","Low region specificity","Detected in many",NA,"","HPA030866, HPA030867, HPA030868","Enhanced","","Supported","Plasma membrane","Secreted in female reproductive system",NA,NA,NA,1.4e+07,"Cluster 16: MAIT-cells - Unknown function","Cluster 28: Placenta - Pregnancy","Cluster 20: Connective tissue cells - ECM organization","Cluster 54: Extravillous trophoblasts - Unknown function","Plasma membrane","","HPA030866: AB_2673636, HPA030867: AB_10602428, HPA030868: AB_2673638","unprognostic (3.35e-1)","unprognostic (1.05e-3)","unprognostic (3.52e-2)","unprognostic (2.47e-2)","unprognostic (3.34e-2)","unprognostic (2.16e-1)","unprognostic (2.91e-6)","unprognostic (2.17e-2)","unprognostic (4.85e-2)","unprognostic (1.30e-2)","unprognostic (2.53e-2)","unprognostic (1.09e-1)","prognostic unfavorable (2.39e-14)","unprognostic (3.11e-3)","unprognostic (9.06e-3)","unprognostic (4.70e-3)","unprognostic (3.47e-3)"
