"","Subcellular.location..CC.","Intramembrane","Topological.domain","Transmembrane"
"P62195","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}. Nucleus {ECO:0000305}.",NA,NA,NA
"P62333","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}.",NA,NA,NA
"O00233",NA,NA,NA,NA
"Q9H939","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}.",NA,NA,NA
"Q14289","SUBCELLULAR LOCATION: Cytoplasm. Cytoplasm, perinuclear region. Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cell junction, focal adhesion. Cell projection, lamellipodium. Cytoplasm, cell cortex. Nucleus. Note=Interaction with NPHP1 induces the membrane-association of the kinase. Colocalizes with integrins at the cell periphery.",NA,NA,NA
"Q05209","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P35831}. Cell junction, focal adhesion {ECO:0000269|PubMed:18559503}. Cell projection, podosome {ECO:0000250|UniProtKB:P35831}. Note=Partial translocation to focal adhesion sites may be mediated by interaction with SORBS2. {ECO:0000269|PubMed:18559503}.",NA,NA,NA
"P28827","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10753936}; Single-pass type I membrane protein. Note=Localizes in regions of cell-cell contact. {ECO:0000269|PubMed:10753936}.",NA,"TOPO_DOM 21..742; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 765..1452; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 743..764; /note=Helical; /evidence=ECO:0000255"
"P15151","SUBCELLULAR LOCATION: [Isoform Alpha]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform Delta]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform Beta]: Secreted.; SUBCELLULAR LOCATION: [Isoform Gamma]: Secreted.",NA,"TOPO_DOM 21..343; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 368..417; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 344..367; /note=Helical; /evidence=ECO:0000255"
"Q5TGL8",NA,NA,NA,NA
"Q7Z7A4","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16142408}. Cell membrane {ECO:0000269|PubMed:16142408}; Peripheral membrane protein {ECO:0000269|PubMed:16142408}. Note=Also associates with the plasma membrane. Isoform 3 is present throughout the cell.",NA,NA,NA
"P06737","SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000305|PubMed:22225877}.",NA,NA,NA
"Q9BRQ0","SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.",NA,NA,NA
"Q9BRP8","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14968132, ECO:0000269|PubMed:18026120}. Nucleus, nucleolus {ECO:0000269|PubMed:14968132}. Nucleus, nucleoplasm {ECO:0000269|PubMed:14968132}. Note=Shuttles between the nucleus and the cytoplasm (PubMed:14968132). Nuclear export is mediated by XPO1/CRM1 (PubMed:14968132). {ECO:0000269|PubMed:14968132}.",NA,NA,NA
"P51153","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15528189}; Lipid-anchor {ECO:0000305|PubMed:8375503}; Cytoplasmic side {ECO:0000305|PubMed:8375503}. Cytoplasmic vesicle membrane {ECO:0000269|PubMed:15528189, ECO:0000269|PubMed:8294494}; Lipid-anchor {ECO:0000305|PubMed:8375503}; Cytoplasmic side {ECO:0000305|PubMed:8375503}. Cell junction, tight junction {ECO:0000269|PubMed:12058051, ECO:0000269|PubMed:8294494}. Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:18779367}. Recycling endosome membrane {ECO:0000269|PubMed:18779367}. Cell projection, lamellipodium {ECO:0000250|UniProtKB:Q9DD03}. Note=Tight junctions or associated with vesicles scattered throughout the cytoplasm in cells lacking tight junctions (PubMed:8294494). Relocalizes to the leading edge of lamellipodia in migrating endothelial cells (By similarity). {ECO:0000250|UniProtKB:Q9DD03, ECO:0000269|PubMed:8294494}.",NA,NA,NA
"Q9H2M9","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q5U1Z0}. Endoplasmic reticulum {ECO:0000305|PubMed:24891604}. Note=In neurons, it is enriched in the synaptic soluble fraction. {ECO:0000250|UniProtKB:Q5U1Z0}.",NA,NA,NA
"P61006","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:26824392, ECO:0000305|PubMed:12221131}; Lipid-anchor {ECO:0000305|PubMed:12221131}; Cytoplasmic side {ECO:0000305|PubMed:12221131}. Golgi apparatus {ECO:0000269|PubMed:15837803}. Recycling endosome membrane {ECO:0000269|PubMed:19864458}. Cell projection, cilium {ECO:0000269|PubMed:21844891, ECO:0000269|PubMed:29125462}. Cytoplasmic vesicle, phagosome {ECO:0000269|PubMed:21255211}. Cytoplasmic vesicle, phagosome membrane {ECO:0000250|UniProtKB:Q92930}; Lipid-anchor {ECO:0000250|UniProtKB:Q92930}; Cytoplasmic side {ECO:0000250|UniProtKB:Q92930}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000250|UniProtKB:P55258}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000269|PubMed:30398148}. Midbody {ECO:0000269|PubMed:22159412}. Cytoplasm {ECO:0000269|PubMed:26824392}. Cytoplasm, cytoskeleton, cilium axoneme {ECO:0000269|PubMed:30398148}. Note=Colocalizes with OPTN at the Golgi complex and in vesicular structures close to the plasma membrane (PubMed:15837803). In the GDP-bound form, present in the perinuclear region (PubMed:12221131). Shows a polarized distribution to distal regions of cell protrusions in the GTP-bound form (PubMed:12221131). Colocalizes with PARD3, PRKCI, EXOC5, OCLN, PODXL and RAB11A in apical membrane initiation sites (AMIS) during the generation of apical surface and lumenogenesis (PubMed:20890297). Localizes to tubular recycling endosome (PubMed:19864458). Recruited to phagosomes containing S.aureus or M.tuberculosis (PubMed:21255211). Non-phosphorylated RAB8A predominantly localizes to the cytoplasm whereas phosphorylated RAB8A localizes to the membrane (PubMed:26824392, PubMed:29125462, PubMed:30398148). {ECO:0000269|PubMed:12221131, ECO:0000269|PubMed:15837803, ECO:0000269|PubMed:19864458, ECO:0000269|PubMed:20890297, ECO:0000269|PubMed:21255211, ECO:0000269|PubMed:26824392, ECO:0000269|PubMed:29125462, ECO:0000269|PubMed:30398148}.",NA,NA,NA
"O43502","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12966089, ECO:0000269|PubMed:16215984}. Cytoplasm {ECO:0000269|PubMed:16215984}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:16215984}. Mitochondrion {ECO:0000269|PubMed:20413593}. Note=DNA damage induces an increase in nuclear levels. Accumulates in DNA damage induced nuclear foci or RAD51C foci which is formed during the S or G2 phase of cell cycle. Accumulation at DNA lesions requires the presence of NBN/NBS1, ATM and RPA.",NA,NA,NA
"P43351","SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.",NA,NA,NA
"P04049","SUBCELLULAR LOCATION: Cytoplasm. Cell membrane. Mitochondrion. Nucleus. Note=Colocalizes with RGS14 and BRAF in both the cytoplasm and membranes. Phosphorylation at Ser-259 impairs its membrane accumulation. Recruited to the cell membrane by the active Ras protein. Phosphorylation at Ser-338 and Ser-339 by PAK1 is required for its mitochondrial localization. Retinoic acid-induced Ser-621 phosphorylated form of RAF1 is predominantly localized at the nucleus.",NA,NA,NA
"P11233","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:17875936, ECO:0000269|PubMed:18756269, ECO:0000269|PubMed:19306925}; Lipid-anchor {ECO:0000269|PubMed:17875936}; Cytoplasmic side. Cleavage furrow {ECO:0000269|PubMed:18756269}. Midbody, Midbody ring {ECO:0000269|PubMed:16213214}. Mitochondrion {ECO:0000269|PubMed:21822277}. Note=Predominantly at the cell surface in the absence of LPA. In the presence of LPA, colocalizes with LPAR1 and LPAR2 in endocytic vesicles (PubMed:19306925). May colocalize with CNTRL/centriolin at the midbody ring (PubMed:16213214). However, localization at the midbody at late cytokinesis was not confirmed (PubMed:18756269). Relocalizes to the mitochondrion during mitosis where it regulates mitochondrial fission (PubMed:21822277). {ECO:0000269|PubMed:16213214, ECO:0000269|PubMed:18756269, ECO:0000269|PubMed:19306925, ECO:0000269|PubMed:21822277}.",NA,NA,NA
"Q15311","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11437348}; Peripheral membrane protein {ECO:0000269|PubMed:10924126, ECO:0000269|PubMed:11437348, ECO:0000269|PubMed:15610018}. Cytoplasm, cytosol {ECO:0000269|PubMed:15610018, ECO:0000269|PubMed:22319010}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000250|UniProtKB:Q62796}. Nucleus {ECO:0000269|PubMed:22319010}. Mitochondrion {ECO:0000269|PubMed:21822277}. Note=Cytosolic protein that transiently associates with the mitotic spindle poles in early prophase, and dissociates from them after completion of mitosis (By similarity). Targeted to the plasma membrane through its interaction with RALB, directed by FGF signaling. Docking on the membrane is required to transduce the Ral signal (By similarity). Recruited by RALA to the mitochondrion during mitosis where it regulates mitochondrial fission (PubMed:21822277). Nuclear localization is cell cycle dependent while membrane localization is seen in adherent cells (PubMed:22319010). The region involved in membrane association could form transmembrane domains and expose a part of the protein extracellularly (Probable). {ECO:0000250|UniProtKB:Q62796, ECO:0000250|UniProtKB:Q9PT60, ECO:0000269|PubMed:21822277, ECO:0000269|PubMed:22319010, ECO:0000305|PubMed:15610018}.",NA,NA,NA
"Q2PPJ7","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16490346}.",NA,NA,NA
"O43374","SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:11448776}. Cell membrane {ECO:0000269|PubMed:11448776}; Peripheral membrane protein {ECO:0000269|PubMed:11448776}. Note=Localized to the cytosol as a result of its lack of phosphoinositide binding activity. Upon agonist-stimulated calcium mobilization, utilizes the C2A and C2B domains to associate with the plasma membrane.",NA,NA,NA
"Q9Y272","SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Cytoplasm, perinuclear region {ECO:0000250}. Nucleus {ECO:0000250}.",NA,NA,NA
"Q7LDG7","SUBCELLULAR LOCATION: Cytoplasm, cytosol. Cell membrane; Peripheral membrane protein. Synapse, synaptosome {ECO:0000305}. Cell projection, ruffle membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}. Note=Found both in the cytosol and associated with membranes. Isoform 2 mainly localizes to the cell membrane. Enriched at juxtamembrane areas and membrane ruffles through association with F-actin. Localizes to the cell bodies and axons of striatal neurons (By similarity). {ECO:0000250}.",NA,NA,NA
"P50749","SUBCELLULAR LOCATION: Nucleus. Cytoplasm. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:20813266}. Note=Translocates to the cytoplasm in the presence of STK3/MST2 and STK4/MST1.",NA,NA,NA
"Q86WH2","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15569673}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:15569673}. Note=Localized to microtubules in vascular endothelial cells.",NA,NA,NA
"Q9H2L5",NA,NA,NA,NA
"Q5TC82","SUBCELLULAR LOCATION: Cytoplasm, P-body {ECO:0000269|PubMed:31636267}. Cytoplasmic granule {ECO:0000250|UniProtKB:Q4VGL6}. Note=During stress, such as that induced by arsenite treatment, localizes to cytosolic stress granules (By similarity). Localization to stress granules, but not to P-bodies, depends upon the RING-type zinc finger (By similarity). ICOS repression may correlate with the localization to P-bodies, not to stress granules (By similarity). {ECO:0000250|UniProtKB:Q4VGL6}.",NA,NA,NA
"A6NED2","SUBCELLULAR LOCATION: Chromosome {ECO:0000269|PubMed:24981860}. Note=Colocalizes with trimethylated 'Lys-9' of histone H3 (H3K9me3). {ECO:0000269|PubMed:24981860}.",NA,NA,NA
"P35241","SUBCELLULAR LOCATION: Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cytoplasm, cytoskeleton. Cleavage furrow. Cell projection, microvillus {ECO:0000250|UniProtKB:P26043}. Note=Highly concentrated in the undercoat of the cell-to-cell adherens junction and the cleavage furrow in the interphase and mitotic phase, respectively.",NA,NA,NA
"O95980","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:30026314, ECO:0000269|PubMed:9789069}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:9789069}.",NA,NA,NA
"Q8IUW5","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:16389068}; Single-pass type I membrane protein {ECO:0000269|PubMed:16389068}.",NA,"TOPO_DOM 24..57; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 79..271; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 58..78; /note=Helical; /evidence=ECO:0000255"
"Q96D71","SUBCELLULAR LOCATION: Membrane, clathrin-coated pit {ECO:0000269|PubMed:20946875}. Note=Colocalize with ITSN1 at the plasma membrane in structures that are most probably clathrin-coated pits.",NA,NA,NA
"Q8N5W9","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q5SVD0}. Note=Colocalizes with FLNA along actin bundle-like structures. {ECO:0000250|UniProtKB:Q5SVD0}.",NA,NA,NA
"Q92546","SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:23091056}. Membrane {ECO:0000269|PubMed:23091056}.",NA,NA,NA
"P49796","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:9858594}. Nucleus {ECO:0000269|PubMed:10749886}. Cell membrane {ECO:0000269|PubMed:9858594}; Peripheral membrane protein {ECO:0000269|PubMed:9858594}. Note=Long isoforms are cytoplasmic and associated with the plasma membrane (PubMed:9858594). Short isoforms are nuclear (PubMed:10749886).",NA,NA,NA
"P61586","SUBCELLULAR LOCATION: Cell membrane; Lipid-anchor; Cytoplasmic side. Cytoplasm, cytoskeleton. Cleavage furrow. Cytoplasm, cell cortex {ECO:0000269|PubMed:9635436}. Midbody. Cell projection, lamellipodium {ECO:0000250|UniProtKB:Q9QUI0}. Cell projection, dendrite {ECO:0000250|UniProtKB:Q9QUI0}. Nucleus {ECO:0000269|PubMed:12551911}. Note=Localized to cell-cell contacts in calcium-treated keratinocytes (By similarity). Translocates to the equatorial region before furrow formation in a ECT2-dependent manner. Localizes to the equatorial cell cortex (at the site of the presumptive furrow) in early anaphase in an activated form and in a myosin- and actin-independent manner. {ECO:0000250|UniProtKB:Q9QUI0}.",NA,NA,NA
"Q9BYZ6",NA,NA,NA,NA
"Q9NPQ8","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cell membrane {ECO:0000250}. Note=Colocalizes with RIC8A in CA2 hippocampal neurons. Colocalizes with GNAI1 and RGS14 at the plasma membrane (By similarity). {ECO:0000250}.",NA,NA,NA
"Q9NVN3","SUBCELLULAR LOCATION: Cytoplasm, cell cortex {ECO:0000269|PubMed:12652642}. Note=Localizes to the cell cortex.",NA,NA,NA
"Q5UIP0","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15583028}. Chromosome {ECO:0000250|UniProtKB:Q6PR54}. Chromosome, telomere {ECO:0000269|PubMed:15342490, ECO:0000269|PubMed:15583028}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:15583028}. Note=Following interaction with TP53BP1, recruited to sites of DNA damage, such as DSBs (By similarity). Exhibits ATM- and TP53BP1-dependent localization to uncapped or aberrant telomeres and to DNA double strand breaks (DSBs) (PubMed:15342490). Does not associate with normal telomere structures (PubMed:15342490, PubMed:15583028). Localizes to microtubules of the midzone of the mitotic spindle during anaphase, and to condensed chromosomes in telophase (PubMed:15583028). {ECO:0000250|UniProtKB:Q6PR54, ECO:0000269|PubMed:15342490, ECO:0000269|PubMed:15583028}.",NA,NA,NA
"Q5EBL4","SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:14668488, ECO:0000269|PubMed:30398148}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000269|PubMed:30398148}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000269|PubMed:30398148}.",NA,NA,NA
"Q9BVS4","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16037817, ECO:0000269|PubMed:19564402}. Note=Exported out of the nucleus via its NES in a XPO1-dependent manner. {ECO:0000269|PubMed:19564402}.",NA,NA,NA
"O14730","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:22418843}.",NA,NA,NA
"Q9Y508","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23645206}. Nucleus {ECO:0000269|PubMed:23645206}.",NA,NA,NA
"Q96MT1","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q5SWK7}; Multi-pass membrane protein {ECO:0000255}.",NA,NA,"TRANSMEM 53..73; /note=Helical; /evidence=ECO:0000255; TRANSMEM 77..97; /note=Helical; /evidence=ECO:0000255; TRANSMEM 123..143; /note=Helical; /evidence=ECO:0000255; TRANSMEM 146..166; /note=Helical; /evidence=ECO:0000255; TRANSMEM 168..188; /note=Helical; /evidence=ECO:0000255; TRANSMEM 205..222; /note=Helical; /evidence=ECO:0000255; TRANSMEM 225..245; /note=Helical; /evidence=ECO:0000255; TRANSMEM 275..295; /note=Helical; /evidence=ECO:0000255; TRANSMEM 316..336; /note=Helical; /evidence=ECO:0000255; TRANSMEM 340..360; /note=Helical; /evidence=ECO:0000255; TRANSMEM 384..404; /note=Helical; /evidence=ECO:0000255; TRANSMEM 410..430; /note=Helical; /evidence=ECO:0000255; TRANSMEM 460..480; /note=Helical; /evidence=ECO:0000255; TRANSMEM 482..502; /note=Helical; /evidence=ECO:0000255"
"Q9NTX7","SUBCELLULAR LOCATION: Cytoplasm, cytosol. Nucleus. Note=Translocates to the nucleus after DNA damage, such as laser-induced DNA breaks, and concentrates at DNA breaks. This translocation requires PARP1 activation and PAR-binding.",NA,NA,NA
"Q8NC42","SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.",NA,NA,"TRANSMEM 201..221; /note=Helical; /evidence=ECO:0000255"
"Q96A37","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:26456228}.",NA,NA,NA
"Q03395","SUBCELLULAR LOCATION: Photoreceptor inner segment membrane {ECO:0000250|UniProtKB:P32958, ECO:0000305|PubMed:1610568}; Multi-pass membrane protein {ECO:0000255}. Photoreceptor outer segment membrane {ECO:0000269|PubMed:1610568}; Multi-pass membrane protein {ECO:0000255}.",NA,"TOPO_DOM 1..19; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 45..64; /note=Lumenal; /evidence=ECO:0000255; TOPO_DOM 85..102; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 126..263; /note=Lumenal; /evidence=ECO:0000255; TOPO_DOM 287..351; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 20..44; /note=Helical; /evidence=ECO:0000255; TRANSMEM 65..84; /note=Helical; /evidence=ECO:0000255; TRANSMEM 103..125; /note=Helical; /evidence=ECO:0000255; TRANSMEM 264..286; /note=Helical; /evidence=ECO:0000255"
"O75695","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10942419, ECO:0000269|PubMed:12417528}; Lipid-anchor {ECO:0000269|PubMed:10942419}; Cytoplasmic side {ECO:0000269|PubMed:10942419}. Cell projection, cilium {ECO:0000269|PubMed:20106869}. Note=Detected predominantly at the plasma membrane of rod and cone photoreceptors. Not detected in the nucleus. {ECO:0000269|PubMed:12417528}.",NA,NA,NA
"Q96AT9",NA,NA,NA,NA
"Q68CZ1","SUBCELLULAR LOCATION: Cytoplasm. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000250|UniProtKB:Q8CG73, ECO:0000269|PubMed:21685204}. Cytoplasm, cytoskeleton, cilium axoneme. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q8CG73}. Cell junction, tight junction {ECO:0000250|UniProtKB:Q8CG73}. Note=In cultured renal cells, it localizes diffusely in the cytoplasm but, as cells approach confluence, it accumulates to basolateral tight junctions. Localizes to the ciliary transition zone. {ECO:0000250|UniProtKB:Q8CG73}.",NA,NA,NA
"P49247",NA,NA,NA,NA
"P83881","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23636399}.",NA,NA,NA
"Q969Q0","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.",NA,NA,NA
"P08865","SUBCELLULAR LOCATION: Cell membrane. Cytoplasm. Nucleus {ECO:0000255|HAMAP-Rule:MF_03016}. Note=67LR is found at the surface of the plasma membrane, with its C-terminal laminin-binding domain accessible to extracellular ligands. 37LRP is found at the cell surface, in the cytoplasm and in the nucleus (By similarity). Colocalizes with PPP1R16B in the cell membrane. {ECO:0000255|HAMAP-Rule:MF_03016}.",NA,NA,NA
"Q9UJJ7",NA,NA,NA,NA
"P55042","SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}.",NA,NA,NA
"Q5JTH9","SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:12429849}. Nucleus membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.",NA,NA,"TRANSMEM 903..923; /note=Helical; /evidence=ECO:0000255"
"Q9Y3A4","SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:33199730, ECO:0000269|PubMed:34516797}. Cell projection, cilium {ECO:0000269|PubMed:33199730}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:33199730}.",NA,NA,NA
"Q6PCB5","SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9GRZ3}.",NA,NA,NA
"Q99584","SUBCELLULAR LOCATION: Cytoplasm. Secreted. Note=Secretion is mediated by exposure to stress and requires copper ions.",NA,NA,NA
"P06703","SUBCELLULAR LOCATION: Nucleus envelope. Cytoplasm. Cell membrane; Peripheral membrane protein; Cytoplasmic side.",NA,NA,NA
"P06702","SUBCELLULAR LOCATION: Secreted. Cytoplasm {ECO:0000269|PubMed:15598812, ECO:0000269|PubMed:8423249}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:22489132, ECO:0000269|PubMed:9083090}. Cell membrane {ECO:0000269|PubMed:18786929}; Peripheral membrane protein {ECO:0000305|PubMed:18786929}. Note=Predominantly localized in the cytoplasm. Upon elevation of the intracellular calcium level, translocated from the cytoplasm to the cytoskeleton and the cell membrane (PubMed:18786929). Upon neutrophil activation or endothelial adhesion of monocytes, is secreted via a microtubule-mediated, alternative pathway (PubMed:15598812). {ECO:0000269|PubMed:15598812, ECO:0000269|PubMed:18786929}.",NA,NA,NA
"O75845","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.",NA,NA,"TRANSMEM 32..52; /note=Helical; /evidence=ECO:0000255; TRANSMEM 79..99; /note=Helical; /evidence=ECO:0000255; TRANSMEM 117..137; /note=Helical; /evidence=ECO:0000255; TRANSMEM 186..206; /note=Helical; /evidence=ECO:0000255"
"O15126","SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:15840657}; Multi-pass membrane protein {ECO:0000269|PubMed:15840657}. Recycling endosome membrane {ECO:0000269|PubMed:15840657}; Multi-pass membrane protein {ECO:0000269|PubMed:15840657}.",NA,"TOPO_DOM 2..155; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 177..181; /note=Lumenal; /evidence=ECO:0000255; TOPO_DOM 203..218; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 240..261; /note=Lumenal; /evidence=ECO:0000255; TOPO_DOM 283..338; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 156..176; /note=Helical; /evidence=ECO:0000255; TRANSMEM 182..202; /note=Helical; /evidence=ECO:0000255; TRANSMEM 219..239; /note=Helical; /evidence=ECO:0000255; TRANSMEM 262..282; /note=Helical; /evidence=ECO:0000255"
"Q969E2","SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.",NA,"TOPO_DOM 1..39; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 170..229; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 40..60; /note=Helical; /evidence=ECO:0000255; TRANSMEM 61..81; /note=Helical; /evidence=ECO:0000255; TRANSMEM 105..125; /note=Helical; /evidence=ECO:0000255; TRANSMEM 149..169; /note=Helical; /evidence=ECO:0000255"
"P34741","SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.",NA,"TOPO_DOM 19..144; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 170..201; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 145..169; /note=Helical; /evidence=ECO:0000255"
"P31431","SUBCELLULAR LOCATION: [Isoform 1]: Membrane {ECO:0000255}; Single-pass type I membrane protein {ECO:0000255}. Secreted {ECO:0000269|PubMed:9169435}. Note=Shedding of the ectodomain produces a soluble form. {ECO:0000269|PubMed:9169435}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted.",NA,"TOPO_DOM 19..145; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 171..198; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 146..170; /note=Helical; /evidence=ECO:0000255"
"Q6IQ49","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:27906959, ECO:0000269|PubMed:34365507}. Cytoplasm {ECO:0000269|PubMed:34365507}.",NA,NA,NA
"P21912","SUBCELLULAR LOCATION: Mitochondrion inner membrane; Peripheral membrane protein; Matrix side.",NA,NA,NA
"Q9NPR2","SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.",NA,"TOPO_DOM 44..717; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 739..837; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 718..738; /note=Helical; /evidence=ECO:0000255"
"Q9H3T2","SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein.",NA,"TOPO_DOM 25..604; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 626..930; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 605..625; /note=Helical; /evidence=ECO:0000255"
"Q15019","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15774761}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:15774761}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:15774761}. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:15774761}. Cleavage furrow {ECO:0000269|PubMed:15774761}. Midbody {ECO:0000269|PubMed:15774761}. Cytoplasm, cell cortex {ECO:0000269|PubMed:15774761}. Cell projection, cilium membrane {ECO:0000250}. Cell projection, cilium, flagellum {ECO:0000269|PubMed:25588830}. Note=In metaphase cells, localized within the microtubule spindle. At the metaphase plate, in close apposition to the kinetochores of the congressed chromosomes. In cells undergoing cytokinesis, localized to the midbody, the ingressing cleavage furrow, and the central spindle. During bacterial infection, displays a collar shape structure next to actin at the pole of invading bacteria. In epithelial cells, colocalizes with polyglutamylated tubulin around the trans-Golgi network, as well as juxatnuclear and proximal Golgi apparatus. Localizes at the base of the cilia near the morphological distinction between the cilia and plasma membranes. Found in the sperm annulus (PubMed:25588830). {ECO:0000269|PubMed:25588830}.",NA,NA,NA
