Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
IYD	"C6orf71, DEHAL1, dJ422F24.1"	ENSG00000009765	"Iodotyrosine deiodinase"	Q6PHW0	6	150368892-150405969	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted membrane proteins"		Oxidoreductase	"Congenital hypothyroidism, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	14	"thyroid gland: 472.7"	"Cell type enhanced"	"Detected in some"		"Cholangiocytes: 13.5;Distal enterocytes: 18.1;Hepatocytes: 24.6;Intestinal goblet cells: 27.2;Paneth cells: 17.4;Proximal enterocytes: 77.3;Proximal tubular cells: 29.0"	"Cancer enriched"	"Detected in many"	20	"thyroid cancer: 80.7"	"Not detected"	"Not detected"			"Immune cell enhanced"	"Detected in some"		"neutrophil: 1.9"	"Low lineage specificity"	"Detected in single"			"Cancer enhanced"	"Detected in some"		"colorectal cancer: 2.8;Gastric cancer: 2.4"	"Colon - Colon enterocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes, Skin - Sebaceous gland cells, Thyroid - Thyroid glandular cells"	"Group enriched"	"Detected in some"	13	"hippocampal formation: 7.4;thalamus: 2.4"	"Low region specificity"	"Detected in all"			HPA059627	Enhanced		Supported	"Plasma membrane"		NA	NA			"Cluster 33: Neutrophils - Chromatin organization"	"Cluster 1: Thyroid gland - Transcription"	"Cluster 19: Stomach & Colon cancer - Absorption"	"Cluster 59: Proximal enterocytes - Transmembrane transport"	"Plasma membrane"		"HPA059627: AB_2684086"	"unprognostic (3.73e-4)"	"unprognostic (2.93e-2)"	"unprognostic (5.97e-2)"	"unprognostic (1.95e-2)"	"unprognostic (1.55e-1)"	"unprognostic (2.98e-2)"	"prognostic favorable (6.22e-4)"	"unprognostic (1.11e-1)"	"unprognostic (3.80e-2)"	"unprognostic (1.17e-1)"	"unprognostic (7.41e-2)"	"unprognostic (1.02e-1)"	"unprognostic (3.07e-9)"	"unprognostic (9.79e-3)"	"unprognostic (2.04e-1)"	"unprognostic (2.03e-2)"	"unprognostic (2.18e-2)"
KCNA6	"HBK2, Kv1.6, PPP1R96"	ENSG00000151079	"Potassium voltage-gated channel subfamily A member 6"	P17658	12	4809176-4813412	"FDA approved drug targets, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	6	"brain: 8.6"	"Group enriched"	"Detected in some"	8	"Astrocytes: 13.6;Excitatory neurons: 27.4;Inhibitory neurons: 52.0;Oligodendrocyte precursor cells: 21.2"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"testis cancer: 8.3"		"Low region specificity"	"Detected in many"							HPA076475			Approved	"Vesicles,Plasma membrane,Cytosol"		NA	NA			"Cluster 4: T-regs - Cell cycle regulation"	"Cluster 73: Brain - Neuropeptide signaling"	"Cluster 12: Lymphoid cancers - Adaptive immune response"	"Cluster 37: Neurons - Neuronal signaling"	"Plasma membrane, Cytosol"	Vesicles	"HPA076475: "																	
KCNA7	"HAK6, Kv1.7"	ENSG00000104848	"Potassium voltage-gated channel subfamily A member 7"	Q96RP8	19	49067418-49072941	"FDA approved drug targets, Predicted membrane proteins, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"FDA approved drug targets"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Group enriched"	"Detected in some"	51	"skeletal muscle: 75.7;tongue: 19.5"	"Cell type enriched"	"Detected in some"	33	"Skeletal myocytes: 58.4"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"				"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA075990			Approved	"Vesicles,Plasma membrane"		NA	NA			"Cluster 11: Basophils - Unknown function"	"Cluster 33: Striated muscle - Muscle contraction"	"Cluster 3: HUVEC & TIME - Signal transduction"	"Cluster 27: Skeletal myocytes - Muscle contraction"	"Vesicles, Plasma membrane"		"HPA075990: "	"unprognostic (2.00e-1)"	"unprognostic (2.10e-2)"		"unprognostic (1.19e-1)"	"unprognostic (2.72e-1)"	"unprognostic (1.68e-1)"		"unprognostic (4.31e-2)"	"unprognostic (3.17e-2)"	"unprognostic (6.97e-2)"	"unprognostic (2.94e-2)"	"unprognostic (1.26e-1)"	"unprognostic (2.21e-8)"	"unprognostic (1.70e-1)"	"unprognostic (2.62e-1)"	"unprognostic (5.80e-2)"	"unprognostic (5.29e-2)"
KCNB2	Kv2.2	ENSG00000182674	"Potassium voltage-gated channel subfamily B member 2"	Q92953	8	72537225-72938349	"FDA approved drug targets, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 2.6;lymphoid tissue: 2.3;retina: 4.6"	"Group enriched"	"Detected in some"	11	"Cone photoreceptor cells: 180.9;Excitatory neurons: 275.0;Inhibitory neurons: 235.1"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"lung cancer: 2.8"	"Colon - Colon enteroendocrine cells, Pancreas - Alpha cells, Pancreas - Beta cells, Testis - Late spermatids"					"Low region specificity"	"Detected in many"			HPA065970			Approved	"Nucleoli,Plasma membrane,Midbody"		Yes	NA				"Cluster 58: Brain - Synaptic function"	"Cluster 41: Non-specific - Cilium assembly"	"Cluster 37: Neurons - Neuronal signaling"	"Plasma membrane"	"Nucleoli, Midbody"	"HPA065970: AB_2685591"	"unprognostic (9.87e-3)"	"unprognostic (1.71e-1)"	"unprognostic (7.57e-2)"	"unprognostic (1.10e-3)"	"unprognostic (1.22e-1)"	"unprognostic (1.34e-1)"		"unprognostic (1.44e-2)"		"unprognostic (2.72e-1)"	"unprognostic (6.93e-5)"	"unprognostic (5.53e-3)"	"unprognostic (3.30e-2)"	"unprognostic (1.62e-1)"	"unprognostic (3.35e-2)"	"unprognostic (3.26e-1)"	
KCNG4	Kv6.4	ENSG00000168418	"Potassium voltage-gated channel modifier subfamily G member 4"	Q8TDN1	16	84218667-84239750	"Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	9	"brain: 3.4;retina: 4.3"	"Cell type enriched"	"Detected in some"	10	"Bipolar cells: 58.7"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"				"Group enriched"	"Detected in all"	4	"cerebellum: 90.5;pons and medulla: 27.0"	"Low region specificity"	"Detected in many"			HPA063516			Supported	"Nucleoplasm,Plasma membrane"		NA	NA			"Cluster 11: Basophils - Unknown function"	"Cluster 77: Retina - Visual perception"	"Cluster 47: Retina - Visual perception"	"Cluster 9: Neurons - Nervous system development"	"Plasma membrane"	Nucleoplasm	"HPA063516: "					"unprognostic (3.54e-1)"									"unprognostic (6.67e-2)"			
KCNH8	"elk3, Kv12.1"	ENSG00000183960	"Potassium voltage-gated channel subfamily H member 8"	Q96L42	3	19148510-19535642	"Predicted membrane proteins, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 16.0;pituitary gland: 10.7"	"Group enriched"	"Detected in some"	61	"Oligodendrocyte precursor cells: 317.7;Oligodendrocytes: 933.9"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in single"		"naive B-cell: 1.4"	"Lineage enriched"	"Detected in single"	4	"B-cells: 1.4"	"Group enriched"	"Detected in some"	5	"colorectal cancer: 1.3;Gallbladder cancer: 3.9;Gastric cancer: 1.1;lung cancer: 1.2;Neuroblastoma: 2.4;prostate cancer: 1.3"	"Colon - Enteric glia cells, Skin - Outer root sheath cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"HPA016586, HPA077537, HPA077773"	Approved		Supported	"Plasma membrane"		NA	NA			"Cluster 21: B-cells - Adaptive immune response"	"Cluster 65: Brain - Ion transport"	"Cluster 41: Non-specific - Cilium assembly"	"Cluster 8: Oligodendrocytes - Myelin sheath organization"	"Plasma membrane"		"HPA016586: AB_1852127, HPA077537: , HPA077773: "	"unprognostic (6.68e-3)"	"unprognostic (1.68e-1)"	"unprognostic (2.99e-2)"	"unprognostic (8.56e-6)"	"unprognostic (1.04e-1)"	"unprognostic (1.10e-1)"	"unprognostic (1.88e-1)"	"unprognostic (9.13e-3)"	"unprognostic (4.86e-2)"	"unprognostic (1.69e-1)"	"unprognostic (5.04e-3)"	"unprognostic (2.90e-2)"	"unprognostic (1.63e-1)"	"unprognostic (1.17e-1)"	"unprognostic (3.89e-2)"	"unprognostic (8.71e-5)"	"unprognostic (1.72e-1)"
KCNK13	"K2p13.1, THIK-1, THIK1"	ENSG00000152315	"Potassium two pore domain channel subfamily K member 13"	Q9HB14	14	90061994-90185853	"Predicted membrane proteins, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"choroid plexus: 5.6;parathyroid gland: 6.0;testis: 9.2"	"Cell type enriched"	"Detected in some"	4	"Microglial cells: 40.1"	"Cancer enhanced"	"Detected in many"		"testis cancer: 5.3"	"Low region specificity"	"Detected in many"			"Immune cell enhanced"	"Detected in single"		"myeloid DC: 1.2"	"Lineage enhanced"	"Detected in single"		"dendritic cells: 1.2"	"Cancer enhanced"	"Detected in some"		"testis cancer: 2.9"	"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Liver - Kupffer cells, Lung - Macrophages, Testis - Sertoli cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			HPA003514	Approved		Approved	"Nuclear speckles,Cell Junctions"		NA	NA			"Cluster 28: Myeloid DCs - Unknown function"	"Cluster 48: Parathyroid gland - membrane proteins"	"Cluster 54: Lymphoma - Cytokine signaling"	"Cluster 12: Non-specific - Chromatin organization"	"Nuclear speckles, Cell Junctions"		"HPA003514: AB_2666978"	"unprognostic (1.40e-1)"	"unprognostic (1.73e-1)"	"unprognostic (6.17e-2)"	"unprognostic (6.31e-2)"	"unprognostic (2.56e-1)"	"unprognostic (5.55e-2)"	"unprognostic (3.56e-2)"	"unprognostic (3.98e-2)"	"unprognostic (2.40e-1)"	"unprognostic (2.34e-1)"	"unprognostic (1.85e-1)"	"unprognostic (3.45e-2)"	"unprognostic (1.97e-1)"	"unprognostic (2.04e-2)"	"unprognostic (6.32e-2)"	"unprognostic (1.46e-1)"	"unprognostic (5.65e-2)"
KCNK9	"K2p9.1, TASK-3, TASK3"	ENSG00000169427	"Potassium two pore domain channel subfamily K member 9"	Q9NPC2	8	139600838-139704109	"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel"	"Disease variant, FDA approved drug targets, Intellectual disability"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	5	"brain: 7.8"	"Group enriched"	"Detected in some"	4	"Excitatory neurons: 15.7;Horizontal cells: 10.9;Inhibitory neurons: 7.8;Late spermatids: 9.3"	"Low cancer specificity"	"Detected in some"			"Region enriched"	"Detected in some"	4	"cerebellum: 7.8"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Neuroblastoma: 1.0;thyroid cancer: 1.6"		"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			HPA075842			Approved	"Plasma membrane"		NA	NA				"Cluster 69: Cerebellum - Gene expression regulation"	"Cluster 29: TT & NCI-H1385 - Synaptic signal transduction"	"Cluster 38: Neurons - Neuronal signaling"	"Plasma membrane"		"HPA075842: "	"unprognostic (1.84e-2)"	"unprognostic (2.57e-1)"	"unprognostic (1.58e-1)"	"unprognostic (8.96e-8)"	"unprognostic (1.91e-1)"	"unprognostic (8.17e-3)"	"unprognostic (2.19e-3)"	"unprognostic (1.65e-1)"	"unprognostic (3.87e-1)"	"unprognostic (1.69e-1)"	"unprognostic (1.00e-2)"	"unprognostic (3.21e-1)"	"unprognostic (5.12e-6)"	"unprognostic (2.94e-2)"	"unprognostic (1.64e-1)"	"unprognostic (9.99e-3)"	"unprognostic (1.76e-1)"
KEL	"CD238, ECE3"	ENSG00000197993	"Kell metallo-endopeptidase (Kell blood group)"	P23276	7	142941114-142962363	"Blood group antigen proteins, Cancer-related genes, CD markers, Enzymes, Predicted intracellular proteins, Predicted membrane proteins"		"Blood group antigen, Hydrolase, Metalloprotease, Protease"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	4	"bone marrow: 56.3;testis: 32.3"	"Cell type enhanced"	"Detected in some"		"Erythroid cells: 62.8;Oligodendrocytes: 28.4;Sertoli cells: 22.1;Squamous epithelial cells: 16.9"	"Cancer enhanced"	"Detected in some"		"testis cancer: 2.0"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	13	"Leukemia: 10.5"	"Testis - Sertoli cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA064442			Approved	"Nucleoplasm,Golgi apparatus,Plasma membrane,Cytosol"		NA	NA			"Cluster 7: Monocytes - Unknown function"	"Cluster 67: Neutrophils - Humoral immune response"	"Cluster 32: Myeloid leukemia - Oxygen transport"	"Cluster 71: Erythroid cells - Oxygen transport"	"Golgi apparatus, Plasma membrane"	"Nucleoplasm, Cytosol"	"HPA064442: "	"unprognostic (5.78e-3)"	"unprognostic (1.08e-5)"	"unprognostic (5.29e-3)"	"unprognostic (4.85e-3)"	"unprognostic (9.68e-2)"	"unprognostic (1.96e-2)"	"unprognostic (1.03e-1)"	"unprognostic (1.54e-2)"	"unprognostic (5.18e-2)"	"unprognostic (1.08e-2)"	"unprognostic (3.71e-2)"	"unprognostic (3.57e-2)"	"unprognostic (2.29e-3)"	"unprognostic (9.24e-2)"	"unprognostic (7.05e-2)"	"unprognostic (3.32e-2)"	"unprognostic (3.25e-3)"
KIF17	"KIAA1405, KIF17B, KIF3X, KLP-2, OSM-3"	ENSG00000117245	"Kinesin family member 17"	Q9P2E2	1	20664014-20718017	"Plasma proteins, Predicted intracellular proteins"	"Protein transport, Transport"	"Motor protein"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	5	"testis: 23.2"	"Cell type enhanced"	"Detected in many"		"Adipocytes: 17.3;Early spermatids: 40.9;Endothelial cells: 13.5;Late spermatids: 82.2"	"Cancer enhanced"	"Detected in many"		"testis cancer: 3.2"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in some"			"Adipose subcutaneous - Endothelial cells, Adipose visceral - Endothelial cells, Breast - Endothelial cells, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			HPA032085	Enhanced		Approved	"Nucleoplasm,Plasma membrane"		NA	NA				"Cluster 78: Testis - Spermatogenesis"	"Cluster 20: Connective tissue cells - ECM organization"	"Cluster 6: Late spermatids - Spermatogenesis"	"Plasma membrane"	Nucleoplasm	"HPA032085: AB_10669917"	"unprognostic (4.15e-3)"	"unprognostic (8.60e-3)"	"unprognostic (6.43e-2)"	"unprognostic (1.12e-2)"	"unprognostic (7.68e-2)"	"unprognostic (3.70e-1)"	"unprognostic (1.07e-2)"	"unprognostic (1.04e-1)"	"unprognostic (7.11e-2)"	"unprognostic (1.08e-1)"	"unprognostic (7.34e-3)"	"unprognostic (8.73e-2)"	"unprognostic (3.63e-3)"	"unprognostic (1.08e-2)"	"unprognostic (2.26e-1)"	"unprognostic (1.22e-1)"	"unprognostic (1.20e-2)"
KIF26B	FLJ10157	ENSG00000162849	"Kinesin family member 26B"	Q2KJY2	1	245154985-245709432	"Predicted intracellular proteins"		"Developmental protein, Motor protein"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 6.2"	"Group enriched"	"Detected in many"	4	"Inhibitory neurons: 275.5;Oligodendrocyte precursor cells: 362.0"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	18	"plasmacytoid DC: 1.8"	"Lineage enriched"	"Detected in single"	18	"dendritic cells: 1.8"	"Cancer enriched"	"Detected in many"	4	"Neuroblastoma: 15.6"	"Adipose visceral - Adipose progenitor cells, Testis - Early spermatids, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA027709, HPA028478, HPA028561, HPA028562"	Enhanced		Approved	"Plasma membrane,Microtubules"		NA	NA			"Cluster 3: Plasmacytoid DCs - Unknown function"	"Cluster 70: Brain - Nervous system development"	"Cluster 21: Neuroblastoma - Neuronal signaling"	"Cluster 37: Neurons - Neuronal signaling"	"Plasma membrane, Microtubules"		"HPA027709: AB_10600215, HPA028478: AB_10601231, HPA028561: AB_10601960, HPA028562: AB_10602417"	"unprognostic (3.66e-1)"	"unprognostic (5.67e-2)"	"unprognostic (7.90e-3)"	"unprognostic (4.50e-3)"	"unprognostic (3.23e-2)"	"unprognostic (1.49e-1)"	"unprognostic (4.17e-2)"	"unprognostic (1.61e-1)"	"unprognostic (9.63e-2)"	"prognostic unfavorable (1.24e-4)"	"unprognostic (8.30e-3)"	"unprognostic (3.63e-1)"	"unprognostic (1.38e-1)"	"unprognostic (1.13e-2)"	"unprognostic (5.77e-2)"	"unprognostic (1.17e-4)"	"unprognostic (7.22e-3)"
KISS1R	"AXOR12, GPR54, HOT7T175"	ENSG00000116014	"KISS1 receptor"	Q969F8	19	917287-921005	"Disease related genes, G-protein coupled receptors, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"		"G-protein coupled receptor, Receptor, Transducer"	"Disease variant, Hypogonadotropic hypogonadism"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	6	"brain: 8.5"	"Cell type enriched"	"Detected in some"	12	"Extravillous trophoblasts: 52.8"	"Cancer enhanced"	"Detected in many"		"renal cancer: 3.6"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Myeloma: 10.6"		"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in single"			"HPA007156, HPA071913"	Approved		Supported	"Vesicles,Plasma membrane"		NA	NA			"Cluster 30: Non-specific - Translation"	"Cluster 73: Brain - Neuropeptide signaling"	"Cluster 44: Myeloma - Humoral immune response"	"Cluster 54: Extravillous trophoblasts - Unknown function"	"Plasma membrane"	Vesicles	"HPA007156: , HPA071913: AB_2686471"	"unprognostic (1.54e-1)"	"unprognostic (3.01e-2)"	"unprognostic (9.42e-2)"	"unprognostic (2.15e-1)"	"unprognostic (8.46e-3)"	"unprognostic (9.23e-2)"	"unprognostic (1.65e-2)"	"unprognostic (3.23e-1)"	"unprognostic (1.37e-1)"	"unprognostic (1.16e-1)"	"unprognostic (1.48e-2)"	"unprognostic (7.17e-2)"	"prognostic unfavorable (3.33e-6)"	"unprognostic (1.87e-1)"	"unprognostic (8.09e-3)"	"unprognostic (1.05e-1)"	"unprognostic (2.05e-2)"
KLHDC7B	MGC16635	ENSG00000130487	"Kelch domain containing 7B"	Q96G42	22	50545899-50551023	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"lymphoid tissue: 5.2;parathyroid gland: 13.7"	"Cell type enhanced"	"Detected in some"		"B-cells: 4.2;Collecting duct cells: 5.9;granulocytes: 4.1;monocytes: 5.4;NK-cells: 6.2;T-cells: 5.5"	"Group enriched"	"Detected in many"	4	"cervical cancer: 42.3;head and neck cancer: 11.4;urothelial cancer: 40.7"	"Not detected"	"Not detected"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Cancer enhanced"	"Detected in many"		"breast cancer: 6.1"		"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA000518, HPA076540"	Uncertain		Approved	"Plasma membrane"		NA	NA			"Cluster 39: Non-specific - mRNA processing"	"Cluster 48: Parathyroid gland - membrane proteins"	"Cluster 62: Granulocytes - Innate immune response"	"Cluster 23: Langerhans cells - Immune response"	"Plasma membrane"		"HPA000518: AB_1079213, HPA076540: "	"prognostic favorable (1.30e-4)"	"unprognostic (3.18e-2)"	"unprognostic (2.74e-2)"	"unprognostic (2.21e-1)"	"unprognostic (3.96e-2)"	"unprognostic (6.04e-3)"	"unprognostic (3.91e-1)"	"unprognostic (1.07e-1)"	"unprognostic (1.07e-2)"	"unprognostic (7.13e-2)"	"unprognostic (3.33e-3)"	"unprognostic (2.48e-1)"	"unprognostic (2.09e-3)"	"unprognostic (2.89e-1)"	"unprognostic (4.69e-2)"	"unprognostic (3.49e-1)"	"unprognostic (1.02e-1)"
KLRC2	"CD159c, NKG2-C"	ENSG00000205809	"Killer cell lectin like receptor C2"	P26717	12	10426854-10442300	"CD markers, Predicted intracellular proteins, Predicted membrane proteins"	"Adaptive immunity, Immunity, Innate immunity"	Receptor		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 9.4;lymphoid tissue: 5.8"	"Group enriched"	"Detected in some"	9	"NK-cells: 77.8;Oligodendrocyte precursor cells: 31.3;T-cells: 59.3"	"Cancer enriched"	"Detected in single"	8	"glioma: 3.6"	"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	5	"gdT-cell: 24.6;NK-cell: 84.5"	"Group enriched"	"Detected in many"	103	"NK-cells: 84.5;T-cells: 24.6"	"Cancer enhanced"	"Detected in many"		"thyroid cancer: 15.9"	"Adipose visceral - T-cells, Prostate - T-cells, Thyroid - T-cells"									HPA058052			Approved	"Plasma membrane"		NA	NA			"Cluster 48: NK-cells - Unknown function"	"Cluster 10: Brain - Neuronal signaling"	"Cluster 23: B-cell cancers - Adaptive immune response"	"Cluster 7: NK-cells - Immune response regulation"	"Plasma membrane"		"HPA058052: AB_2683589"	"unprognostic (9.05e-4)"	"unprognostic (2.54e-2)"	"unprognostic (3.77e-2)"	"unprognostic (2.51e-3)"	"unprognostic (2.83e-1)"	"unprognostic (9.49e-4)"	"unprognostic (1.27e-1)"	"unprognostic (8.74e-2)"	"unprognostic (2.88e-1)"	"unprognostic (4.00e-3)"	"unprognostic (2.88e-2)"	"unprognostic (9.16e-3)"	"unprognostic (1.55e-9)"	"unprognostic (8.10e-2)"	"unprognostic (2.34e-1)"	"unprognostic (8.93e-2)"	"unprognostic (5.31e-3)"
