"","Subcellular.location..CC.","Intramembrane","Topological.domain","Transmembrane"
"Q12864","SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.",NA,"TOPO_DOM 23..787; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 809..832; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 788..808; /note=Helical; /evidence=ECO:0000255"
"P19022","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:23863954}; Single-pass type I membrane protein {ECO:0000255}. Cell membrane, sarcolemma {ECO:0000250|UniProtKB:P15116}. Cell junction {ECO:0000269|PubMed:28169360}. Cell surface {ECO:0000250|UniProtKB:P15116}. Cell junction, desmosome {ECO:0000250|UniProtKB:P15116}. Cell junction, adherens junction {ECO:0000250|UniProtKB:P15116}. Note=Colocalizes with TMEM65 at the intercalated disk in cardiomyocytes. Colocalizes with OBSCN at the intercalated disk and at sarcolemma in cardiomyocytes. {ECO:0000250|UniProtKB:P15116}.",NA,"TOPO_DOM 160..724; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 746..906; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 725..745; /note=Helical; /evidence=ECO:0000255"
"P22223","SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein.",NA,"TOPO_DOM 108..654; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 678..829; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 655..677; /note=Helical; /evidence=ECO:0000255"
"P55285","SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein.",NA,"TOPO_DOM 54..615; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 637..790; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 616..636; /note=Helical; /evidence=ECO:0000255"
"Q00535","SUBCELLULAR LOCATION: [Isoform 1]: Cytoplasm {ECO:0000269|PubMed:12691662}. Nucleus {ECO:0000269|PubMed:12691662}. Cell membrane {ECO:0000269|PubMed:17009320}; Peripheral membrane protein. Perikaryon. Cell projection, lamellipodium {ECO:0000250|UniProtKB:P49615}. Cell projection, growth cone {ECO:0000250|UniProtKB:P49615}. Postsynaptic density {ECO:0000250|UniProtKB:Q03114}. Synapse {ECO:0000250|UniProtKB:Q03114}. Note=In axonal growth cone with extension to the peripheral lamellipodia (By similarity). Under neurotoxic stress and neuronal injury conditions, CDK5R (p35) is cleaved by calpain to generate CDK5R1 (p25) in response to increased intracellular calcium. The elevated level of p25, when in complex with CDK5, leads to its subcellular misallocation as well as its hyperactivation. Colocalizes with CTNND2 in the cell body of neuronal cells, and with CTNNB1 in the cell-cell contacts and plasma membrane of undifferentiated and differentiated neuroblastoma cells. Reversibly attached to the plasma membrane in an inactive form when complexed to dephosphorylated p35 or CDK5R2 (p39), p35 phosphorylation releases this attachment and activates CDK5. {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 2]: Nucleus.",NA,NA,NA
"Q96SN8","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:14654843, ECO:0000269|PubMed:19553473, ECO:0000269|PubMed:25503564, ECO:0000269|PubMed:25657325, ECO:0000269|PubMed:26482847, ECO:0000269|PubMed:26485573, ECO:0000269|PubMed:29162697, ECO:0000269|PubMed:31974111, ECO:0000269|PubMed:35849559}. Golgi apparatus {ECO:0000269|PubMed:20466722}. Cytoplasm {ECO:0000269|PubMed:19553473}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:19553473, ECO:0000269|PubMed:26485573}. Note=Found in the pericentriolar region adhering to the surface of the centrosome and in the region of the centrosomal appendages. Localizes to microtubule plus ends in the presence of EB1/MAPRE1. Localization to centrosomes versus Golgi apparatus may be cell type-dependent. For instance, in SK-BR-3 and HEK293F cells, localizes to centrosomes but not to the Golgi apparatus (PubMed:29162697). {ECO:0000269|PubMed:19553473, ECO:0000269|PubMed:26485573, ECO:0000269|PubMed:29162697}.",NA,NA,NA
"Q5T4B2","SUBCELLULAR LOCATION: Endoplasmic reticulum lumen {ECO:0000255|PROSITE-ProRule:PRU10138}.",NA,NA,NA
"Q8IYR0","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, cilium axoneme {ECO:0000250|UniProtKB:Q6PE87}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000250|UniProtKB:Q6PE87}.",NA,NA,NA
"P00751","SUBCELLULAR LOCATION: Secreted.",NA,NA,NA
"Q9P2M7","SUBCELLULAR LOCATION: Cell junction, tight junction {ECO:0000250|UniProtKB:P59242}. Note=Localizes to the apical junction complex composed of tight and adherens junctions (By similarity). Colocalizes with SPEF1 at sites of cell-cell contact in intestinal epithelial cells (PubMed:12023291). {ECO:0000250|UniProtKB:P59242, ECO:0000269|PubMed:12023291}.",NA,NA,NA
"Q0VF96","SUBCELLULAR LOCATION: Cell junction, tight junction {ECO:0000250|UniProtKB:Q6AW69}. Note=Localizes to the apical junction complex composed of tight and adherens junctions (PubMed:22891260). In the liver and kidney, it is also found along non-junctional actin filament bundles in addition to the apical junction (By similarity). {ECO:0000250|UniProtKB:Q6AW69, ECO:0000269|PubMed:22891260}.",NA,NA,NA
"Q9BUK0","SUBCELLULAR LOCATION: Mitochondrion intermembrane space {ECO:0000305}.",NA,NA,NA
"P30926","SUBCELLULAR LOCATION: Synaptic cell membrane {ECO:0000250|UniProtKB:P04757}; Multi-pass membrane protein {ECO:0000255}. Cell membrane {ECO:0000250|UniProtKB:P04757}; Multi-pass membrane protein {ECO:0000255}.",NA,"TOPO_DOM 22..239; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 256..261; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 278..296; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 322..454; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 479..498; /note=Extracellular; /evidence=ECO:0000255","TRANSMEM 240..255; /note=Helical; /evidence=ECO:0000269|PubMed:31488329, ECO:0007744|PDB:6PV7, ECO:0007744|PDB:6PV8; TRANSMEM 262..277; /note=Helical; /evidence=ECO:0000269|PubMed:31488329, ECO:0007744|PDB:6PV7, ECO:0007744|PDB:6PV8; TRANSMEM 297..321; /note=Helical; /evidence=ECO:0000269|PubMed:31488329, ECO:0007744|PDB:6PV7, ECO:0007744|PDB:6PV8; TRANSMEM 455..478; /note=Helical; /evidence=ECO:0000269|PubMed:31488329, ECO:0007744|PDB:6PV7, ECO:0007744|PDB:6PV8"
"Q9UQC9","SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Basal cell membrane; Single-pass type I membrane protein. Cell junction.; SUBCELLULAR LOCATION: [Calcium-activated chloride channel regulator 2, 109 kDa form]: Secreted. Note=Remains associated to the 35 kDa form until an unidentified event triggers the release.",NA,"TOPO_DOM 32..901; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 923..943; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 902..922; /note=Helical; /evidence=ECO:0000255"
"O75508","SUBCELLULAR LOCATION: Cell junction, tight junction. Cell membrane {ECO:0000269|PubMed:20375010}; Multi-pass membrane protein {ECO:0000255}.",NA,"TOPO_DOM 1; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 23..82; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 104..122; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 144..157; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 179..207; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 2..22; /note=Helical; /evidence=ECO:0000255; TRANSMEM 83..103; /note=Helical; /evidence=ECO:0000255; TRANSMEM 123..143; /note=Helical; /evidence=ECO:0000255; TRANSMEM 158..178; /note=Helical; /evidence=ECO:0000255"
"P56856","SUBCELLULAR LOCATION: Cell junction, tight junction {ECO:0000250|UniProtKB:P56857}. Cell membrane {ECO:0000250|UniProtKB:P56857}; Multi-pass membrane protein {ECO:0000255}. Note=Localizes to tight junctions in epithelial cells. {ECO:0000250|UniProtKB:P56857}.; SUBCELLULAR LOCATION: [Isoform A1]: Cell junction, tight junction {ECO:0000250|UniProtKB:P56857}.; SUBCELLULAR LOCATION: [Isoform A2]: Cell junction, tight junction {ECO:0000250|UniProtKB:P56857}. Lateral cell membrane {ECO:0000250|UniProtKB:P56857}.",NA,"TOPO_DOM 1..6; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 28..80; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 102..122; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 144..174; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 196..261; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 7..27; /note=Helical; /evidence=ECO:0000255; TRANSMEM 81..101; /note=Helical; /evidence=ECO:0000255; TRANSMEM 123..143; /note=Helical; /evidence=ECO:0000255; TRANSMEM 175..195; /note=Helical; /evidence=ECO:0000255"
"P57739","SUBCELLULAR LOCATION: Cell junction, tight junction {ECO:0000269|PubMed:20460438}. Cell membrane {ECO:0000250|UniProtKB:O88552}; Multi-pass membrane protein {ECO:0000255}.",NA,"TOPO_DOM 1..7; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 29..81; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 103..116; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 138..162; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 184..230; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 8..28; /note=Helical; /evidence=ECO:0000255; TRANSMEM 82..102; /note=Helical; /evidence=ECO:0000255; TRANSMEM 117..137; /note=Helical; /evidence=ECO:0000255; TRANSMEM 163..183; /note=Helical; /evidence=ECO:0000255"
"Q96B33","SUBCELLULAR LOCATION: Cell junction, tight junction {ECO:0000250}. Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.",NA,"TOPO_DOM 1..3; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 25..81; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 103..110; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 132..160; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 182..292; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 4..24; /note=Helical; /evidence=ECO:0000255; TRANSMEM 82..102; /note=Helical; /evidence=ECO:0000255; TRANSMEM 111..131; /note=Helical; /evidence=ECO:0000255; TRANSMEM 161..181; /note=Helical; /evidence=ECO:0000255"
"O15551","SUBCELLULAR LOCATION: Cell junction, tight junction {ECO:0000269|PubMed:28028216}. Cell membrane {ECO:0000269|PubMed:28028216}; Multi-pass membrane protein {ECO:0000255}.",NA,"TOPO_DOM 1..8; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 30..80; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 102..115; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 137..159; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 181..220; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 9..29; /note=Helical; /evidence=ECO:0000255; TRANSMEM 81..101; /note=Helical; /evidence=ECO:0000255; TRANSMEM 116..136; /note=Helical; /evidence=ECO:0000255; TRANSMEM 160..180; /note=Helical; /evidence=ECO:0000255"
"O95471","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12673207, ECO:0000269|PubMed:14502431, ECO:0000269|PubMed:20375010}; Multi-pass membrane protein {ECO:0000255}. Basolateral cell membrane {ECO:0000269|PubMed:16054130}. Cell junction, tight junction {ECO:0000269|PubMed:16054130}. Note=Co-localizes with EPCAM at the basolateral cell membrane and tight junction. {ECO:0000269|PubMed:16054130}.",NA,"TOPO_DOM 1..7; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 29..81; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 103..117; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 139..160; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 182..211; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 8..28; /note=Helical; /evidence=ECO:0000255; TRANSMEM 82..102; /note=Helical; /evidence=ECO:0000255; TRANSMEM 118..138; /note=Helical; /evidence=ECO:0000255; TRANSMEM 161..181; /note=Helical; /evidence=ECO:0000255"
"O95484","SUBCELLULAR LOCATION: Cell junction, tight junction. Cell membrane {ECO:0000269|PubMed:20375010, ECO:0000269|PubMed:31175426}; Multi-pass membrane protein {ECO:0000255}.",NA,"TOPO_DOM 1..7; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 29..81; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 103..116; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 138..159; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 181..217; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 8..28; /note=Helical; /evidence=ECO:0000255; TRANSMEM 82..102; /note=Helical; /evidence=ECO:0000255; TRANSMEM 117..137; /note=Helical; /evidence=ECO:0000255; TRANSMEM 160..180; /note=Helical; /evidence=ECO:0000255"
"Q8IYT2","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:21310715}. Cytoplasm {ECO:0000269|PubMed:21310715}.",NA,NA,NA
"O75128","SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Cell projection, ruffle {ECO:0000250}. Cytoplasm {ECO:0000250}. Note=Recruited to the cell membrane via interaction with PACSIN1. Colocalizes with the actin cytoskeleton. Detected throughout the neuron cell body, as well as in axons and dendrites (By similarity). {ECO:0000250}.",NA,NA,NA
"Q53SF7",NA,NA,NA,NA
"Q5KU26","SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:11162630}; Single-pass type II membrane protein {ECO:0000269|PubMed:11162630}. Note=Forms clusters on the cell surface.",NA,"TOPO_DOM 1..37; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 59..742; /note=Extracellular; /evidence=ECO:0000255","TRANSMEM 38..58; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"Q9Y215","SUBCELLULAR LOCATION: Synapse.",NA,NA,NA
"Q9BUF7","SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000269|PubMed:12527193, ECO:0000269|PubMed:12771187, ECO:0000269|PubMed:14718572}; Single-pass type I membrane protein {ECO:0000255}. Cell junction, tight junction {ECO:0000269|PubMed:12527193}. Note=Localizes primarily to the apical membrane with a small fraction in the upper part of tight junctions of epithelial cells. {ECO:0000269|PubMed:14718572}.",NA,"TOPO_DOM 27..59; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 81..120; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 60..80; /note=Helical; /evidence=ECO:0000255"
"P35221","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:P26231}. Cell junction, adherens junction {ECO:0000269|PubMed:25653389}. Cell membrane {ECO:0000250|UniProtKB:P26231}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000250|UniProtKB:P26231}. Cell junction {ECO:0000269|PubMed:12417594, ECO:0000269|PubMed:16184169}. Cytoplasm {ECO:0000250|UniProtKB:Q9PVF8}. Nucleus {ECO:0000269|PubMed:16184169}. Note=Found at cell-cell boundaries and probably at cell-matrix boundaries. {ECO:0000250|UniProtKB:P26231}.; SUBCELLULAR LOCATION: [Isoform 3]: Cell membrane {ECO:0000269|PubMed:21708131}; Peripheral membrane protein {ECO:0000269|PubMed:21708131}; Cytoplasmic side {ECO:0000269|PubMed:21708131}.",NA,NA,NA
"Q9UQB3","SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:O35927}. Cell junction, adherens junction {ECO:0000250|UniProtKB:O35927}. Cell projection, dendrite {ECO:0000250|UniProtKB:O35116}. Perikaryon {ECO:0000269|PubMed:22022388}.",NA,NA,NA
"P60606","SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.",NA,NA,"TRANSMEM 30..50; /note=Helical; /evidence=ECO:0000255"
"P78310","SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:15533241}; Single-pass type I membrane protein {ECO:0000255}. Basolateral cell membrane {ECO:0000269|PubMed:11316797, ECO:0000269|PubMed:12021372, ECO:0000269|PubMed:12297051, ECO:0000269|PubMed:15364909}; Single-pass type I membrane protein {ECO:0000255}. Cell junction, tight junction {ECO:0000269|PubMed:11734628, ECO:0000269|PubMed:12297051}. Cell junction, adherens junction {ECO:0000269|PubMed:12297051}. Note=In epithelial cells localizes to the apical junction complex composed of tight and adherens junctions (PubMed:12297051). In airway epithelial cells localized to basolateral membrane but not to apical surface (PubMed:11316797). {ECO:0000269|PubMed:11316797, ECO:0000269|PubMed:12297051}.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000269|PubMed:14978041}.; SUBCELLULAR LOCATION: [Isoform 4]: Secreted {ECO:0000269|PubMed:14978041}.; SUBCELLULAR LOCATION: [Isoform 5]: Secreted {ECO:0000269|PubMed:14978041}.",NA,"TOPO_DOM 20..237; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 259..365; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 238..258; /note=Helical; /evidence=ECO:0000255"
"Q9BQA9","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:28351984}; Single-pass membrane protein {ECO:0000305}.",NA,NA,"TRANSMEM 20..42; /note=Helical; /evidence=ECO:0000255"
"Q6UW02","SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.",NA,NA,"TRANSMEM 4..24; /note=Helical; /evidence=ECO:0000255"
"Q9NV06","SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:24754225, ECO:0000269|PubMed:30283081, ECO:0000269|PubMed:34516797}. Note=In the nucleolus, localizes predominantly in the granular component, but also detected in the fibrillar center and dense fibrillar component. {ECO:0000269|PubMed:24754225}.",NA,NA,NA
"Q8IU60","SUBCELLULAR LOCATION: Cytoplasm, P-body {ECO:0000269|PubMed:15067023, ECO:0000269|PubMed:15273322, ECO:0000269|PubMed:16364915, ECO:0000269|PubMed:20616046}. Nucleus {ECO:0000269|PubMed:15273322}. Note=Predominantly cytoplasmic, in processing bodies (PB) (PubMed:15273322). A minor amount is nuclear (PubMed:15273322). {ECO:0000269|PubMed:15273322, ECO:0000269|PubMed:16364915, ECO:0000269|PubMed:20616046}.",NA,NA,NA
"Q92466","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10777490, ECO:0000269|PubMed:10777491, ECO:0000269|PubMed:11705987, ECO:0000269|PubMed:12944386, ECO:0000269|PubMed:14751237, ECO:0000269|PubMed:16473935, ECO:0000269|PubMed:16713579, ECO:0000269|PubMed:17635991, ECO:0000269|PubMed:18593899}. Chromosome {ECO:0000269|PubMed:32789493}. Note=Accumulates at sites of DNA damage following UV irradiation. {ECO:0000269|PubMed:32789493}.",NA,NA,NA
"Q08345","SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 4]: Cell membrane; Single-pass type I membrane protein.",NA,"TOPO_DOM 21..417; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 439..913; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 418..438; /note=Helical; /evidence=ECO:0000255"
"Q6IAN0","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q5RJY4}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:Q5RJY4}.",NA,"TOPO_DOM 1..17; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 39..325; /note=Lumenal; /evidence=ECO:0000255","TRANSMEM 18..38; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000255"
"Q8TDM6","SUBCELLULAR LOCATION: Cell junction {ECO:0000269|PubMed:12657639, ECO:0000269|PubMed:28169360}. Cell membrane {ECO:0000269|PubMed:12657639}; Peripheral membrane protein {ECO:0000269|PubMed:12657639}. Postsynaptic density {ECO:0000250|UniProtKB:E9Q9R9}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000250|UniProtKB:E9Q9R9}. Note=Localized at sites of cell-cell contact.",NA,NA,NA
"Q9H819","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:25631089}; Single-pass membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: Note=(Microbial infection) Upon SV40 infection, colocalizes with BCAP31, DNAJB12 and DNAJB14 in punctate structures within the endoplasmic reticulum membrane. {ECO:0000269|PubMed:25631089}.",NA,NA,"TRANSMEM 228..248; /note=Helical; /evidence=ECO:0000255"
"Q14183","SUBCELLULAR LOCATION: Lysosome {ECO:0000250}. Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}. Synapse, synaptosome.",NA,NA,NA
"Q9NYP3","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:28191891}. Note=Localizes at DNA replication sites. {ECO:0000269|PubMed:28191891}.",NA,NA,NA
"P16444","SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000269|PubMed:28413640}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:2168407}. Cell projection, microvillus membrane {ECO:0000269|PubMed:2168407}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:2168407}. Note=Brush border membrane. {ECO:0000250|UniProtKB:P31429}.",NA,NA,NA
"Q9BZG8","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10519411}. Cytoplasm {ECO:0000269|PubMed:10519411}. Note=Punctate, primarily perinuclear localization. {ECO:0000269|PubMed:10519411}.",NA,NA,NA
"A6NC42","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.",NA,NA,NA
"Q14574","SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Cell junction, desmosome.",NA,"TOPO_DOM 136..690; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 712..896; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 691..711; /note=Helical; /evidence=ECO:0000255"
"Q14126","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:27338829, ECO:0000269|PubMed:31402609}; Single-pass type I membrane protein. Cell junction, desmosome {ECO:0000269|PubMed:20859650, ECO:0000269|PubMed:25208567, ECO:0000269|PubMed:29999492, ECO:0000269|PubMed:31402609, ECO:0000269|PubMed:33596089}. Cytoplasm {ECO:0000269|PubMed:27338829}.",NA,"TOPO_DOM 50..609; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 635..1118; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 610..634; /note=Helical; /evidence=ECO:0000255"
"P15924","SUBCELLULAR LOCATION: Cell junction, desmosome {ECO:0000269|PubMed:18343367, ECO:0000269|PubMed:20859650, ECO:0000269|PubMed:25208567}. Cell membrane {ECO:0000250|UniProtKB:E9Q557}. Cytoplasm {ECO:0000269|PubMed:25208567}. Note=Localizes to desmosome precursor particles in the cytoplasm (PubMed:25208567). Localizes to the cytoplasm in undifferentiated keratinocytes however becomes localizes to both lateral and tricellular cell-cell contacts as differentiation progresses and as epithelial sheet formation completes (By similarity). {ECO:0000250|UniProtKB:E9Q557, ECO:0000269|PubMed:25208567}.",NA,NA,NA
"Q9Y4J8","SUBCELLULAR LOCATION: Cytoplasm. Synapse. Cell membrane {ECO:0000250}. Note=In peripheral nerves, colocalizes with MAGEE1 in the Schwann cell membrane. {ECO:0000250}.",NA,NA,NA
"Q9HAV5","SUBCELLULAR LOCATION: Membrane; Single-pass type III membrane protein.",NA,"TOPO_DOM 1..138; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 160..297; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 139..159; /note=Helical; Signal-anchor for type III membrane protein; /evidence=ECO:0000255"
"Q9BUY7",NA,NA,NA,NA
"P00533","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:17182860, ECO:0000269|PubMed:20462955, ECO:0000269|PubMed:23589287, ECO:0000269|PubMed:27153536, ECO:0000269|PubMed:2790960, ECO:0000269|PubMed:35538033}; Single-pass type I membrane protein {ECO:0000269|PubMed:27153536}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:27153536}; Single-pass type I membrane protein. Golgi apparatus membrane; Single-pass type I membrane protein. Nucleus membrane; Single-pass type I membrane protein. Endosome {ECO:0000269|PubMed:17182860, ECO:0000269|PubMed:27153536}. Endosome membrane. Nucleus {ECO:0000269|PubMed:17115032, ECO:0000269|PubMed:17909029, ECO:0000269|PubMed:20551055, ECO:0000269|PubMed:20674546}. Note=In response to EGF, translocated from the cell membrane to the nucleus via Golgi and ER (PubMed:17909029, PubMed:20674546). Endocytosed upon activation by ligand (PubMed:17182860, PubMed:17909029, PubMed:27153536, PubMed:2790960). Colocalized with GPER1 in the nucleus of estrogen agonist-induced cancer-associated fibroblasts (CAF) (PubMed:20551055). {ECO:0000269|PubMed:17182860, ECO:0000269|PubMed:17909029, ECO:0000269|PubMed:20674546, ECO:0000269|PubMed:27153536, ECO:0000269|PubMed:2790960}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted.",NA,"TOPO_DOM 25..645; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 669..1210; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 646..668; /note=Helical; /evidence=ECO:0000255"
"P0C7U0","SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}. Cell projection, dendrite {ECO:0000250}. Note=Localizes to excitatory synapses onto somatostatin (Sst)-containing oriens-lacunosum moleculare (O-LM) interneurons. {ECO:0000250}.",NA,"TOPO_DOM 28..418; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 440..828; /note=Cytoplasmic; /evidence=ECO:0000255","TRANSMEM 419..439; /note=Helical; /evidence=ECO:0000255"
"Q96BJ8","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.",NA,NA,NA
"Q15369","SUBCELLULAR LOCATION: Nucleus {ECO:0000305|PubMed:34700328}.",NA,NA,NA
"P11171","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:12427749}. Cytoplasm, cell cortex {ECO:0000269|PubMed:12427749, ECO:0000269|PubMed:23870127}. Nucleus {ECO:0000269|PubMed:12427749}.",NA,NA,NA
"O43491","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}. Cytoplasm, cell cortex {ECO:0000269|PubMed:23870127}. Cell membrane {ECO:0000269|PubMed:22361696}.",NA,NA,NA
